case_name,sensors,method,A_true_mm,A_id_mm,amp_error_mm,amp_error_percent,phi_id_rad,d0_id_mm,rmse_v,weighted_rmse_v,true_dg6_mm,true_dmu6_mm_per_mm,noise_std_v,point_count_full,point_count_fit,fit_dg6_mm,fit_dmu6_mm_per_mm
clean,S13,fixed,0.371092574690059,0.371092475364035,-9.93260231285653e-08,-2.67658341618729e-05,0.399999992918721,-1.83149210080523e-08,6.90224977344495e-08,7.18964950769443e-08,0,0,0,11074,6000,NaN,NaN
clean,S13,gap_only,0.371092574690059,0.371092527959378,-4.67306804363687e-08,-1.25927285059257e-05,0.399999808678676,-6.64079504927752e-08,3.4925822926807e-08,3.65389143137506e-08,0,0,0,11074,6000,NaN,NaN
clean,S13,gap_tilt,0.371092574690059,0.371098613524236,6.03883417715778e-06,0.00162731204799813,0.40010968141849,3.80314293621045e-05,2.05971708826014e-06,2.0668100685227e-06,0,0,0,11074,6000,NaN,NaN
noise_only,S13,fixed,0.371092574690059,0.371280881898116,0.000188307208057459,0.050743997832545,0.40183740917128,0.000754465480835119,0.0128177885890721,0.0128249361470352,0,0,0.0126262601905795,11074,6000,NaN,NaN
noise_only,S13,gap_only,0.371092574690059,0.371294070640752,0.000201495950693242,0.0542980281568647,0.401769665446857,0.000729997535505402,0.0128178394102206,0.01282496109673,0,0,0.0126262601905795,11074,6000,NaN,NaN
noise_only,S13,gap_tilt,0.371092574690059,0.371272502411776,0.000179927721717765,0.0484859396251847,0.401348507055625,0.000584222415772423,0.0128178419958068,0.0128250071794979,0,0,0.0126262601905795,11074,6000,NaN,NaN
ch6_static_dg,S13,fixed,0.371092574690059,0.371280881898116,0.000188307208057459,0.050743997832545,0.40183740917128,0.000754465480835119,0.0128177885890721,0.0128249361470352,0.05,0,0.0126262601905795,11074,6000,NaN,NaN
ch6_static_dg,S13,gap_only,0.371092574690059,0.371294070640752,0.000201495950693242,0.0542980281568647,0.401769665446857,0.000729997535505402,0.0128178394102206,0.01282496109673,0.05,0,0.0126262601905795,11074,6000,NaN,NaN
ch6_static_dg,S13,gap_tilt,0.371092574690059,0.371272502411776,0.000179927721717765,0.0484859396251847,0.401348507055625,0.000584222415772423,0.0128178419958068,0.0128250071794979,0.05,0,0.0126262601905795,11074,6000,NaN,NaN
ch6_tilt_dmu,S13,fixed,0.371092574690059,0.371280881898116,0.000188307208057459,0.050743997832545,0.40183740917128,0.000754465480835119,0.0128177885890721,0.0128249361470352,0,0.035,0.0126262601905795,11074,6000,NaN,NaN
ch6_tilt_dmu,S13,gap_only,0.371092574690059,0.371294070640752,0.000201495950693242,0.0542980281568647,0.401769665446857,0.000729997535505402,0.0128178394102206,0.01282496109673,0,0.035,0.0126262601905795,11074,6000,NaN,NaN
ch6_tilt_dmu,S13,gap_tilt,0.371092574690059,0.371272502411776,0.000179927721717765,0.0484859396251847,0.401348507055625,0.000584222415772423,0.0128178419958068,0.0128250071794979,0,0.035,0.0126262601905795,11074,6000,NaN,NaN
ch6_dg_dmu,S13,fixed,0.371092574690059,0.371280881898116,0.000188307208057459,0.050743997832545,0.40183740917128,0.000754465480835119,0.0128177885890721,0.0128249361470352,0.03,0.03,0.0126262601905795,11074,6000,NaN,NaN
ch6_dg_dmu,S13,gap_only,0.371092574690059,0.371294070640752,0.000201495950693242,0.0542980281568647,0.401769665446857,0.000729997535505402,0.0128178394102206,0.01282496109673,0.03,0.03,0.0126262601905795,11074,6000,NaN,NaN
ch6_dg_dmu,S13,gap_tilt,0.371092574690059,0.371272502411776,0.000179927721717765,0.0484859396251847,0.401348507055625,0.000584222415772423,0.0128178419958068,0.0128250071794979,0.03,0.03,0.0126262601905795,11074,6000,NaN,NaN
clean,S136,fixed,0.371092574690059,0.371092709731241,1.3504118240304e-07,3.6390160195425e-05,0.400000366456577,1.36191635382903e-07,6.54590672314761e-08,7.0133298894449e-08,0,0,0,16732,6000,0,0
clean,S136,gap_only,0.371092574690059,0.371347574793774,0.000255000103715652,0.0687160350563823,0.399472013270615,-0.000226664976650584,0.000168625427096567,0.000178763234489519,0,0,0,16732,6000,0.000468303230242767,0
clean,S136,gap_tilt,0.371092574690059,0.370695582851231,-0.000396991838827521,-0.106979192229619,0.395613244736617,-0.00144557547304044,0.00036994815438178,0.00038001980352453,0,0,0,16732,6000,0.00137630103076272,0.000495868623190146
noise_only,S136,fixed,0.371092574690059,0.370958587006128,-0.000133987683930414,-0.0361062691815708,0.399542605853512,5.08300735828683e-05,0.0126399203063082,0.0125601662476834,0,0,0.0126262601905795,16732,6000,0,0
noise_only,S136,gap_only,0.371092574690059,0.37144658777286,0.000354013082801252,0.0953975118195045,0.398729083740612,-0.000268353539702503,0.0126462945328537,0.0125632243827388,0,0,0.0126262601905795,16732,6000,0.000727506579875858,0
noise_only,S136,gap_tilt,0.371092574690059,0.370799655613099,-0.00029291907695933,-0.0789342328404119,0.399875248019042,7.30215795466709e-05,0.0126600069630425,0.0125749931325607,0,0,0.0126262601905795,16732,6000,-0.000268013431302301,5.45445599790031e-05
ch6_static_dg,S136,fixed,0.371092574690059,0.359583515909656,-0.0115090587804029,-3.10139829394739,0.451813994031678,0.0182598357087678,0.0284327505549866,0.0289730518723251,0.05,0,0.0126262601905795,16732,6000,0,0
