case_name,sensors,model_name,A_policy,A_true_mm,A_reported_mm,amp_error_mm,amp_error_percent,fit_dg6_mm,fit_dmu6_mm_per_mm,weighted_rmse_v,baseline_gap_only_rmse_v,rmse_improvement_percent,linear_delta_A_mm
noise_only,S136,stage1_gap_fixed_tilt,main,0.371092574690059,0.371119959647016,2.73849569576989e-05,0.0073795486154826,-0.000304443585000891,NaN,0.0124774457773764,0.0124774457773764,0,NaN
noise_only,S136,current_gap_tilt_independent,diagnostic_unprotected,0.371092574690059,0.370591683246961,-0.000500891443098062,-0.134977490055254,0.00147152159048331,0.00069277862507897,0.0124811961021939,0.0124774457773764,-0.0300568312169233,NaN
noise_only,S136,stage2_raw_dmu_A_locked,A_locked_raw,0.371092574690059,0.371119959647016,2.73849569576989e-05,0.0073795486154826,-0.000304443585000891,3.01966574669085e-05,0.0124773578213505,0.0124774457773764,0.000704920121186898,0
noise_only,S136,stage2_gaporth_dmu_A_locked,A_locked_gap_orthogonal,0.371092574690059,0.371119959647016,2.73849569576989e-05,0.0073795486154826,-0.000304443585000891,3.09412134928908e-05,0.0124773534194593,0.0124774457773764,0.000740198906122193,0
noise_only,S136,stage2_safe_dmu_A_locked,A_locked_vib_gap_orthogonal,0.371092574690059,0.371119959647016,2.73849569576989e-05,0.0073795486154826,-0.000304443585000891,1.76122353107514e-05,0.0124774362523865,0.0124774457773764,7.63376581585091e-05,0
noise_only,S136,linear_raw_refit_can_move_A,linear_update_raw,0.371092574690059,0.371498816413607,0.000406241723547973,0.109471800638229,-6.99712982115065e-05,1.76122353107636e-05,0.0124766717269248,0.0124774457773764,0.0062035969979461,0.000378856766590271
noise_only,S136,linear_safe_refit_can_move_A,linear_update_vib_gap_orthogonal,0.371092574690059,0.371510727069101,0.000418152379042414,0.112681419021025,-0.000112653788879086,1.76122353107608e-05,0.0124766717269248,0.0124774457773764,0.0062035969979461,0.000390767422084713
ch6_static_dg,S136,stage1_gap_fixed_tilt,main,0.371092574690059,0.372931718960176,0.00183914427011789,0.495602551911464,0.0524019098122052,NaN,0.0124925433935592,0.0124925433935592,0,NaN
ch6_static_dg,S136,current_gap_tilt_independent,diagnostic_unprotected,0.371092574690059,0.3563442496864,-0.0147483250036586,-3.97429806187218,0.0316125362845054,-0.000762390831077755,0.0146151554675036,0.0124925433935592,-16.9910322267819,NaN
ch6_static_dg,S136,stage2_raw_dmu_A_locked,A_locked_raw,0.371092574690059,0.372931718960176,0.00183914427011789,0.495602551911464,0.0524019098122052,-8.73749452400573e-05,0.0124897281130171,0.0124925433935592,0.0225356875168184,0
ch6_static_dg,S136,stage2_gaporth_dmu_A_locked,A_locked_gap_orthogonal,0.371092574690059,0.372931718960176,0.00183914427011789,0.495602551911464,0.0524019098122052,-8.29120751823964e-05,0.0124899990079063,0.0124925433935592,0.0203672348592268,0
ch6_static_dg,S136,stage2_safe_dmu_A_locked,A_locked_vib_gap_orthogonal,0.371092574690059,0.372931718960176,0.00183914427011789,0.495602551911464,0.0524019098122052,0.000303698965139791,0.0124903706671402,0.0124925433935592,0.0173921862870594,0
ch6_static_dg,S136,linear_raw_refit_can_move_A,linear_update_raw,0.371092574690059,0.37180753801892,0.000714963328861229,0.192664412500944,0.0532039630271947,0.000303698965139786,0.0124839825562375,0.0124925433935592,0.0685275772276452,-0.00112418094125667
ch6_static_dg,S136,linear_safe_refit_can_move_A,linear_update_vib_gap_orthogonal,0.371092574690059,0.371989710305699,0.000897135615640421,0.241755205258343,0.0516571924521253,0.000303698965139783,0.0124839825562375,0.0124925433935592,0.0685275772276452,-0.000942008654477445
