case_name,stage,sensors,method,n,mean_A_id_mm,mean_amp_error_mm,mean_amp_error_percent,mean_weighted_rmse_mv,mean_fit_dg6_mm,mean_fit_dmu6_mm_per_mm,mean_sg_template_rmse_mv
stage0_clean,stage0_baseline,S13,superGaussian,1,0.367556529117288,-0.00353604557277071,-0.952874245927464,17.0342539280866,NaN,NaN,16.6918713984285
stage0_clean,stage0_baseline,S13,fixed_template,1,0.371092574690059,0,0,0,NaN,NaN,16.6918713984285
stage0_clean,stage0_baseline,S13,gap_fixed_tilt,1,0.371092574690059,0,0,0,NaN,NaN,16.6918713984285
stage0_clean,stage0_baseline,S136,superGaussian,1,0.366013784469147,-0.00507879022091201,-1.36860464673913,15.593229658169,0,0,15.4166073546374
stage0_clean,stage0_baseline,S136,fixed_template,1,0.371092574690059,0,0,0,0,0,15.4166073546374
stage0_clean,stage0_baseline,S136,gap_fixed_tilt,1,0.371092574690059,0,0,0,0,0,15.4166073546374
stage0_noise_only,stage0_baseline,S13,superGaussian,1,0.366015075319514,-0.00507749937054419,-1.36825679543305,21.269117574789,NaN,NaN,16.6918713984285
stage0_noise_only,stage0_baseline,S13,fixed_template,1,0.369543497725497,-0.00154907696456191,-0.417436798851533,12.9831619454359,NaN,NaN,16.6918713984285
stage0_noise_only,stage0_baseline,S13,gap_fixed_tilt,1,0.369272381411781,-0.00182019327827715,-0.490495742146659,12.9895706992921,NaN,NaN,16.6918713984285
stage0_noise_only,stage0_baseline,S136,superGaussian,1,0.365362047584831,-0.00573052710522709,-1.54423114232703,20.110992475698,0,0,15.4166073546374
stage0_noise_only,stage0_baseline,S136,fixed_template,1,0.370429005674334,-0.000663569015724896,-0.1788149537293,12.9082884053643,0,0,15.4166073546374
stage0_noise_only,stage0_baseline,S136,gap_fixed_tilt,1,0.370468702722345,-0.000623871967713796,-0.168117610069364,12.9081169713614,1.10486237484177e-05,0,15.4166073546374
qa_zero_amp_clean,qa,S13,superGaussian,1,2.56808920000039e-14,2.56808920000039e-14,NaN,16.6321635350512,NaN,NaN,16.6918713984285
qa_zero_amp_clean,qa,S13,fixed_template,1,0,0,NaN,0,NaN,NaN,16.6918713984285
qa_zero_amp_clean,qa,S13,gap_fixed_tilt,1,0,0,NaN,0,NaN,NaN,16.6918713984285
qa_zero_amp_clean,qa,S136,superGaussian,1,4.3149474435818e-15,4.3149474435818e-15,NaN,15.3753575261425,0,0,15.4166073546374
qa_zero_amp_clean,qa,S136,fixed_template,1,0,0,NaN,0,0,0,15.4166073546374
qa_zero_amp_clean,qa,S136,gap_fixed_tilt,1,0,0,NaN,0,0,0,15.4166073546374
stage1_gap6_clean,stage1_gap_change,S13,superGaussian,1,0.367556529117288,-0.00353604557277071,-0.952874245927464,17.0342539280866,NaN,NaN,16.6918713984285
stage1_gap6_clean,stage1_gap_change,S13,fixed_template,1,0.371092574690059,0,0,0,NaN,NaN,16.6918713984285
stage1_gap6_clean,stage1_gap_change,S13,gap_fixed_tilt,1,0.371092574690059,0,0,0,NaN,NaN,16.6918713984285
stage1_gap6_clean,stage1_gap_change,S136,superGaussian,1,0.324184656263196,-0.046907918426863,-12.640489631473,68.8286265106161,0,0,15.4166073546374
stage1_gap6_clean,stage1_gap_change,S136,fixed_template,1,0.328254263388226,-0.0428383113018326,-11.5438341329281,67.2950214857565,0,0,15.4166073546374
stage1_gap6_clean,stage1_gap_change,S136,gap_fixed_tilt,1,0.373214603043987,0.00212202835392877,0.571832609612607,1.02026223329116,0.0502724041847573,0,15.4166073546374
stage1_gap6_noise,stage1_gap_change,S13,superGaussian,1,0.366015075319514,-0.00507749937054419,-1.36825679543305,21.269117574789,NaN,NaN,16.6918713984285
stage1_gap6_noise,stage1_gap_change,S13,fixed_template,1,0.369543497725497,-0.00154907696456191,-0.417436798851533,12.9831619454359,NaN,NaN,16.6918713984285
stage1_gap6_noise,stage1_gap_change,S13,gap_fixed_tilt,1,0.369272381411781,-0.00182019327827715,-0.490495742146659,12.9895706992921,NaN,NaN,16.6918713984285
stage1_gap6_noise,stage1_gap_change,S136,superGaussian,1,0.323525058811546,-0.0475675158785124,-12.8182343498092,70.0108163736196,0,0,15.4166073546374
stage1_gap6_noise,stage1_gap_change,S136,fixed_template,1,0.327623325453683,-0.0434692492363754,-11.7138558411419,68.5428382611602,0,0,15.4166073546374
stage1_gap6_noise,stage1_gap_change,S136,gap_fixed_tilt,1,0.37225655604353,0.00116398135347168,0.313663337091519,12.9628387096329,0.0503263817733481,0,15.4166073546374
stage2_initial_tilt_only_clean,stage2_initial_tilt,S13,superGaussian,1,0.367556529117288,-0.00353604557277071,-0.952874245927464,17.0342539280866,NaN,NaN,16.6918713984285
stage2_initial_tilt_only_clean,stage2_initial_tilt,S13,fixed_template,1,0.371092574690059,0,0,0,NaN,NaN,16.6918713984285
stage2_initial_tilt_only_clean,stage2_initial_tilt,S13,gap_fixed_tilt,1,0.371092574690059,0,0,0,NaN,NaN,16.6918713984285
stage2_initial_tilt_only_clean,stage2_initial_tilt,S136,superGaussian,1,0.366013784469147,-0.00507879022091201,-1.36860464673913,15.593229658169,0,0,15.4166073546374
stage2_initial_tilt_only_clean,stage2_initial_tilt,S136,fixed_template,1,0.371092574690059,0,0,0,0,0,15.4166073546374
stage2_initial_tilt_only_clean,stage2_initial_tilt,S136,gap_fixed_tilt,1,0.371092574690059,0,0,0,0,0,15.4166073546374
stage2_gap6_initial_tilt_clean,stage2_gap_plus_initial_tilt,S13,superGaussian,1,0.367556529117288,-0.00353604557277071,-0.952874245927464,17.0342539280866,NaN,NaN,16.6918713984285
stage2_gap6_initial_tilt_clean,stage2_gap_plus_initial_tilt,S13,fixed_template,1,0.371092574690059,0,0,0,NaN,NaN,16.6918713984285
stage2_gap6_initial_tilt_clean,stage2_gap_plus_initial_tilt,S13,gap_fixed_tilt,1,0.371092574690059,0,0,0,NaN,NaN,16.6918713984285
stage2_gap6_initial_tilt_clean,stage2_gap_plus_initial_tilt,S136,superGaussian,1,0.326632063851424,-0.0444605108386343,-11.9809756031277,68.3196116313345,0,0,15.4166073546374
stage2_gap6_initial_tilt_clean,stage2_gap_plus_initial_tilt,S136,fixed_template,1,0.330612008266017,-0.040480566424042,-10.908481922025,66.980392918975,0,0,15.4166073546374
stage2_gap6_initial_tilt_clean,stage2_gap_plus_initial_tilt,S136,gap_fixed_tilt,1,0.373262478546161,0.00216990385610211,0.584733838426824,1.0766388995696,0.0504005563008669,0,15.4166073546374
stage2_gap6_initial_tilt_noise,stage2_gap_plus_initial_tilt,S13,superGaussian,1,0.366015075319514,-0.00507749937054419,-1.36825679543305,21.269117574789,NaN,NaN,16.6918713984285
stage2_gap6_initial_tilt_noise,stage2_gap_plus_initial_tilt,S13,fixed_template,1,0.369543497725497,-0.00154907696456191,-0.417436798851533,12.9831619454359,NaN,NaN,16.6918713984285
stage2_gap6_initial_tilt_noise,stage2_gap_plus_initial_tilt,S13,gap_fixed_tilt,1,0.36931490450585,-0.0017776701842086,-0.479036851031939,12.9887994230108,NaN,NaN,16.6918713984285
stage2_gap6_initial_tilt_noise,stage2_gap_plus_initial_tilt,S13,gap_tilt_residual,1,0.368818401140327,-0.00227417354973197,-0.612831865911462,12.9960020972858,NaN,NaN,16.6918713984285
stage2_gap6_initial_tilt_noise,stage2_gap_plus_initial_tilt,S136,superGaussian,1,0.325974004727556,-0.0451185699625026,-12.1583057812963,69.5071502519696,0,0,15.4166073546374
stage2_gap6_initial_tilt_noise,stage2_gap_plus_initial_tilt,S136,fixed_template,1,0.329983146157291,-0.0411094285327674,-11.0779442480364,68.2300122314953,0,0,15.4166073546374
stage2_gap6_initial_tilt_noise,stage2_gap_plus_initial_tilt,S136,gap_fixed_tilt,1,0.373142133572818,0.00204955888275987,0.552303932373665,12.9687342548715,0.0504612909664694,0,15.4166073546374
stage2_gap6_initial_tilt_noise,stage2_gap_plus_initial_tilt,S136,gap_tilt_residual,1,0.368722342940368,-0.00237023174969098,-0.638717104935507,12.9627753487999,0.0499354661347199,0.00165247189900217,15.4166073546374
stage3_gap6_tilt_cal_error_plus,stage3_tilt_cal_error,S13,superGaussian,1,0.366015075319514,-0.00507749937054419,-1.36825679543305,21.269117574789,NaN,NaN,16.6918713984285
stage3_gap6_tilt_cal_error_plus,stage3_tilt_cal_error,S13,fixed_template,1,0.369543497725497,-0.00154907696456191,-0.417436798851533,12.9831619454359,NaN,NaN,16.6918713984285
stage3_gap6_tilt_cal_error_plus,stage3_tilt_cal_error,S13,gap_fixed_tilt,1,0.36931490450585,-0.0017776701842086,-0.479036851031939,12.9887994230108,NaN,NaN,16.6918713984285
stage3_gap6_tilt_cal_error_plus,stage3_tilt_cal_error,S13,gap_tilt_residual,1,0.368818401140327,-0.00227417354973197,-0.612831865911462,12.9960020972858,NaN,NaN,16.6918713984285
stage3_gap6_tilt_cal_error_plus,stage3_tilt_cal_error,S136,superGaussian,1,0.325974004727556,-0.0451185699625026,-12.1583057812963,69.5071502519696,0,0,15.4166073546374
stage3_gap6_tilt_cal_error_plus,stage3_tilt_cal_error,S136,fixed_template,1,0.329983146157291,-0.0411094285327674,-11.0779442480364,68.2300122314953,0,0,15.4166073546374
stage3_gap6_tilt_cal_error_plus,stage3_tilt_cal_error,S136,gap_fixed_tilt,1,0.373455510652085,0.00236293596202658,0.636751075927654,12.9806156374503,0.0505956883906026,0,15.4166073546374
stage3_gap6_tilt_cal_error_plus,stage3_tilt_cal_error,S136,gap_tilt_residual,1,0.36922140666383,-0.00187116802622889,-0.504232138784159,13.0004591176463,0.0499368881067203,0.0019479925154159,15.4166073546374
stage3_gap6_tilt_cal_error_minus,stage3_tilt_cal_error,S13,superGaussian,1,0.366015075319514,-0.00507749937054419,-1.36825679543305,21.269117574789,NaN,NaN,16.6918713984285
stage3_gap6_tilt_cal_error_minus,stage3_tilt_cal_error,S13,fixed_template,1,0.369543497725497,-0.00154907696456191,-0.417436798851533,12.9831619454359,NaN,NaN,16.6918713984285
stage3_gap6_tilt_cal_error_minus,stage3_tilt_cal_error,S13,gap_fixed_tilt,1,0.36931490450585,-0.0017776701842086,-0.479036851031939,12.9887994230108,NaN,NaN,16.6918713984285
stage3_gap6_tilt_cal_error_minus,stage3_tilt_cal_error,S13,gap_tilt_residual,1,0.368818401140327,-0.00227417354973197,-0.612831865911462,12.9960020972858,NaN,NaN,16.6918713984285
stage3_gap6_tilt_cal_error_minus,stage3_tilt_cal_error,S136,superGaussian,1,0.325974004727556,-0.0451185699625026,-12.1583057812963,69.5071502519696,0,0,15.4166073546374
stage3_gap6_tilt_cal_error_minus,stage3_tilt_cal_error,S136,fixed_template,1,0.329983146157291,-0.0411094285327674,-11.0779442480364,68.2300122314953,0,0,15.4166073546374
stage3_gap6_tilt_cal_error_minus,stage3_tilt_cal_error,S136,gap_fixed_tilt,1,0.372639220328726,0.00154664563866774,0.416781618430259,12.9703400839384,0.0504328297135535,0,15.4166073546374
stage3_gap6_tilt_cal_error_minus,stage3_tilt_cal_error,S136,gap_tilt_residual,1,0.369131415607446,-0.0019611590826123,-0.52848243709815,12.9562059673915,0.0500993529226379,0.0011224242606813,15.4166073546374
stage4_tilt_change6_noise,stage4_tilt_change,S13,superGaussian,1,0.366015075319514,-0.00507749937054419,-1.36825679543305,21.269117574789,NaN,NaN,16.6918713984285
stage4_tilt_change6_noise,stage4_tilt_change,S13,fixed_template,1,0.369543497725497,-0.00154907696456191,-0.417436798851533,12.9831619454359,NaN,NaN,16.6918713984285
stage4_tilt_change6_noise,stage4_tilt_change,S13,gap_fixed_tilt,1,0.36931490450585,-0.0017776701842086,-0.479036851031939,12.9887994230108,NaN,NaN,16.6918713984285
stage4_tilt_change6_noise,stage4_tilt_change,S13,gap_tilt_residual,1,0.368818401140327,-0.00227417354973197,-0.612831865911462,12.9960020972858,NaN,NaN,16.6918713984285
stage4_tilt_change6_noise,stage4_tilt_change,S136,superGaussian,1,0.367046195077949,-0.00404637961210985,-1.09039627523926,20.3075160600226,0,0,15.4166073546374
stage4_tilt_change6_noise,stage4_tilt_change,S136,fixed_template,1,0.3720258612936,0.000933286603541805,0.251496976009638,14.2032461495321,0,0,15.4166073546374
stage4_tilt_change6_noise,stage4_tilt_change,S136,gap_fixed_tilt,1,0.374445035658398,0.00335246096833935,0.903402869523696,14.2687877504824,0.00101381218437787,0,15.4166073546374
stage4_tilt_change6_noise,stage4_tilt_change,S136,gap_tilt_residual,1,0.372458350679182,0.0013657759891233,0.368041853239454,13.1196856137325,1.03692201879921e-05,0.0032549552367844,15.4166073546374
