case_name,event_id,rev_id,event_in_rev,opr_reference_time_s,opr_timing_reference,opr_center_time_s,opr_start_time_s,opr_end_time_s,opr_width_s,center_offset_s,opr_peak_value,center_quality,source_file_id,rev_period_s,rpm,opr_events_per_revolution
1000_2500_3500,1,1,1,0.004116,threshold_rising_edge,0.0043318,0.004116,0.0045476,0.0004316,0,4.95406709692424,0,1000,0.0522704,1147.87719244544,6
1000_2500_3500,2,1,2,0.0127636,threshold_rising_edge,0.0129544537662338,0.0127636,0.0131518,0.0003882,-3.24623376623222e-06,4.87464387464388,1,1000,0.052391,1145.2348685843,6
1000_2500_3500,3,1,3,0.0215036,threshold_rising_edge,0.021703305330233,0.0215036,0.0219088,0.000405199999999998,-2.89466976702984e-06,4.87755102040816,1,1000,0.0523764,1145.55410452036,6
1000_2500_3500,4,1,4,0.0301914,threshold_rising_edge,0.0304315695560925,0.0301914,0.0306808,0.000489400000000001,-4.53044390751056e-06,4.85627071341357,1,1000,0.052361,1145.89102576345,6
1000_2500_3500,5,1,5,0.0389754,threshold_rising_edge,0.0391696505332487,0.0389754,0.039371,0.000395600000000003,-3.5494667512681e-06,4.84301412872842,1,1000,0.052345,1146.24128379024,6
1000_2500_3500,6,1,6,0.0476978,threshold_rising_edge,0.0479040854879378,0.0476978,0.0481212,0.000423400000000004,-5.41451206215182e-06,4.85964300250015,1,1000,0.0523302,1146.56546315512,6
1000_2500_3500,7,2,1,0.0563864,threshold_rising_edge,0.0566639592361111,0.0563864,0.0569498,0.000563399999999999,-4.1407638888824e-06,4.95662538519681,1,1000,0.0523174,1146.84598240738,6
1000_2500_3500,8,2,2,0.0651546,threshold_rising_edge,0.0653449516801948,0.0651546,0.065542,0.00038740000000001,-3.34831980519645e-06,4.87952787952788,1,1000,0.052309,1147.03014777572,6
1000_2500_3500,9,2,3,0.07388,threshold_rising_edge,0.0740793226456066,0.07388,0.0742848,0.000404799999999997,-3.07735439335211e-06,4.86708529565672,1,1000,0.052305,1147.11786636077,6
1000_2500_3500,10,2,4,0.0825524,threshold_rising_edge,0.082792232535075,0.0825524,0.083041,0.000488600000000006,-4.46746492500927e-06,4.84661898947613,1,1000,0.0523006,1147.21437230166,6
1000_2500_3500,11,2,5,0.0913204,threshold_rising_edge,0.0915144836789629,0.0913204,0.0917156,0.000395199999999998,-3.51632103710864e-06,4.8459212744927,1,1000,0.0522944,1147.35038550973,6
1000_2500_3500,12,2,6,0.100028,threshold_rising_edge,0.100233648006439,0.100028,0.1004504,0.000422399999999989,-5.55199356140623e-06,4.85836385836386,1,1000,0.0522836,1147.58738877966,6
1000_2500_3500,13,3,1,0.1087038,threshold_rising_edge,0.108980389395604,0.1087038,0.1092652,0.000561400000000004,-4.1106043956185e-06,4.95325309611024,1,1000,0.0522688,1147.91233010898,6
1000_2500_3500,14,3,2,0.1174636,threshold_rising_edge,0.117653663339921,0.1174636,0.1178504,0.000386799999999993,-3.33666007905353e-06,4.87441130298273,1,1000,0.0522508,1148.30777710581,6
1000_2500_3500,15,3,3,0.126185,threshold_rising_edge,0.126384277026291,0.126185,0.1265898,0.000404800000000011,-3.12297370858028e-06,4.87115529972673,1,1000,0.0522314,1148.73428627224,6
1000_2500_3500,16,3,4,0.134853,threshold_rising_edge,0.135092777287532,0.134853,0.1353412,0.000488199999999994,-4.32271246805782e-06,4.84661898947613,1,1000,0.0522154,1149.08628488913,6
1000_2500_3500,17,3,5,0.1436148,threshold_rising_edge,0.1438086091917,0.1436148,0.1440094,0.000394600000000023,-3.4908083002827e-06,4.84894470608756,1,1000,0.0522016,1149.39005700975,6
1000_2500_3500,18,3,6,0.1523116,threshold_rising_edge,0.152516922432686,0.1523116,0.1527336,0.000422000000000006,-5.67756731362223e-06,4.85743357171929,1,1000,0.052191,1149.62349830431,6
1000_2500_3500,19,4,1,0.1609726,threshold_rising_edge,0.161248727351205,0.1609726,0.1615334,0.0005608,-4.27264879454547e-06,4.95662538519681,1,1000,0.0521818,1149.82618460843,6
1000_2500_3500,20,4,2,0.1697144,threshold_rising_edge,0.169903830716342,0.1697144,0.1701002,0.000385800000000019,-3.46928365843602e-06,4.87778359206931,1,1000,0.0521734,1150.01130844453,6
1000_2500_3500,21,4,3,0.1784164,threshold_rising_edge,0.178615280809258,0.1784164,0.1788204,0.000403999999999988,-3.11919074247324e-06,4.86452700738415,1,1000,0.0521642,1150.21413153082,6
1000_2500_3500,22,4,4,0.1870684,threshold_rising_edge,0.187307383367279,0.1870684,0.1875556,0.000487199999999993,-4.61663272099955e-06,4.8451072736787,1,1000,0.0521532,1150.45673132233,6
1000_2500_3500,23,4,5,0.1958164,threshold_rising_edge,0.196009902094453,0.1958164,0.1962104,0.000394000000000005,-3.49790554668439e-06,4.84173498459213,1,1000,0.05214,1150.74798619102,6
1000_2500_3500,24,4,6,0.2045026,threshold_rising_edge,0.204707836113499,0.2045026,0.2049244,0.0004218,-5.66388650108385e-06,4.87115529972673,1,1000,0.0521272,1151.03055602449,6
1000_2500_3500,25,5,1,0.2131544,threshold_rising_edge,0.213430420757333,0.2131544,0.213714,0.000559599999999993,-3.779242667451e-06,4.93069364497936,1,1000,0.0521152,1151.29559130542,6
1000_2500_3500,26,5,2,0.2218878,threshold_rising_edge,0.222077164537878,0.2218878,0.2222732,0.000385400000000008,-3.33546212194502e-06,4.85568928426071,1,1000,0.0521024,1151.57843016828,6
1000_2500_3500,27,5,3,0.2305806,threshold_rising_edge,0.230779305187948,0.2305806,0.230984,0.000403399999999998,-2.99481205245922e-06,4.84475841618699,1,1000,0.0520938,1151.76854059408,6
1000_2500_3500,28,5,4,0.2392216,threshold_rising_edge,0.239460636903293,0.2392216,0.2397086,0.000486999999999987,-4.46309670698586e-06,4.83882783882784,1,1000,0.052083,1152.00737284719,6
1000_2500_3500,29,5,5,0.2479564,threshold_rising_edge,0.248149701039449,0.2479564,0.2483498,0.000393400000000016,-3.39896055073785e-06,4.83603697889412,1,1000,0.052073,1152.22860215467,6
1000_2500_3500,30,5,6,0.2566298,threshold_rising_edge,0.256835070911365,0.2566298,0.2570512,0.000421399999999961,-5.42908863498948e-06,4.84685156113728,1,1000,0.0520604,1152.50747209011,6
1000_2500_3500,31,6,1,0.2652696,threshold_rising_edge,0.265544723433366,0.2652696,0.2658278,0.000558200000000009,-3.97656663353452e-06,4.95569509855224,1,1000,0.052047,1152.80419620727,6
1000_2500_3500,32,6,2,0.2739902,threshold_rising_edge,0.274179665638972,0.2739902,0.274376,0.000385799999999992,-3.43436102834271e-06,4.86417814989244,1,1000,0.0520342,1153.0877768852,6
1000_2500_3500,33,6,3,0.2826744,threshold_rising_edge,0.282872629717342,0.2826744,0.283077,0.000402600000000031,-3.07028265850162e-06,4.85185185185185,1,1000,0.0520216,1153.36706291233,6
1000_2500_3500,34,6,4,0.2913046,threshold_rising_edge,0.291543573387557,0.2913046,0.2917912,0.000486599999999948,-4.32661244248456e-06,4.84708413279842,1,1000,0.0520081999999999,1153.66422987144,6
1000_2500_3500,35,6,5,0.3000294,threshold_rising_edge,0.300222031797694,0.3000294,0.3004216,0.000392200000000009,-3.46820230612277e-06,4.83603697889412,1,1000,0.0519958,1153.93935664034,6
1000_2500_3500,36,6,6,0.3086902,threshold_rising_edge,0.308895156789812,0.3086902,0.309111,0.000420799999999999,-5.44321018786098e-06,4.8806907378336,1,1000,0.0519852,1154.17464970799,6
1000_2500_3500,37,7,1,0.3173166,threshold_rising_edge,0.317591365144742,0.3173166,0.317874,0.000557399999999986,-3.93485525762571e-06,4.95511366939938,1,1000,0.0519748,1154.40559655833,6
1000_2500_3500,38,7,2,0.3260244,threshold_rising_edge,0.326213621122877,0.3260244,0.3264098,0.000385400000000036,-3.4788771232086e-06,4.88545845688703,1,1000,0.0519624,1154.68107708651,6
1000_2500_3500,39,7,3,0.334696,threshold_rising_edge,0.334893883822646,0.334696,0.3350978,0.000401800000000008,-3.01617735448678e-06,4.83382754811326,1,1000,0.0519478,1155.00560177717,6
1000_2500_3500,40,7,4,0.3433128,threshold_rising_edge,0.343551151443388,0.3433128,0.3437982,0.000485400000000025,-4.34855661246569e-06,4.84813070527356,1,1000,0.0519342,1155.30806289497,6
1000_2500_3500,41,7,5,0.3520252,threshold_rising_edge,0.352217481796649,0.3520252,0.352417,0.000391799999999998,-3.61820335126328e-06,4.84406070120356,1,1000,0.0519238,1155.53946359858,6
1000_2500_3500,42,7,6,0.3606754,threshold_rising_edge,0.360879998725528,0.3606754,0.3610954,0.000420000000000031,-5.40127447179461e-06,4.86080586080586,1,1000,0.0519152,1155.73088421118,6
1000_2500_3500,43,8,1,0.3692914,threshold_rising_edge,0.36956578569271,0.3692914,0.3698482,0.000556800000000024,-4.0143072895793e-06,4.9681376824234,1,1000,0.0519056,1155.94463795814,6
1000_2500_3500,44,8,2,0.3779868,threshold_rising_edge,0.378175811773011,0.3779868,0.3783718,0.000384999999999969,-3.48822698914564e-06,4.88941217512646,1,1000,0.0518952,1156.17629376127,6
1000_2500_3500,45,8,3,0.3866438,threshold_rising_edge,0.386841860639722,0.3866438,0.3870456,0.000401800000000008,-2.8393602777288e-06,4.852084423513,1,1000,0.0518854,1156.3946697915,6
1000_2500_3500,46,8,4,0.395247,threshold_rising_edge,0.395485092099567,0.395247,0.3957318,0.000484800000000007,-4.3079004328761e-06,4.87336473050759,1,1000,0.051874,1156.64880286849,6
1000_2500_3500,47,8,5,0.403949,threshold_rising_edge,0.404141109625185,0.403949,0.4043402,0.00039119999999998,-3.49037481506276e-06,4.84871213442642,1,1000,0.0518622,1156.91197056816,6
