case_name,sensor_id,blade_id,point_count,valid_count,valid_ratio,large_disp_warning_count,large_disp_warning_ratio,time_start_s,time_end_s,rpm_mean,rpm_min,rpm_max,disp_mean_mm,disp_median_mm,disp_std_mm,disp_rms_mm,disp_min_mm,disp_max_mm
1000_2500_3500,1,1,6307,6307,1,0,0,0.0270633,146.7142231,2827.30548308115,742.142565586797,3755.69745153747,0.0216379842446536,0.0198823046082639,0.0450054652592968,0.049933687181696,-0.296789838236055,0.170131097990971
1000_2500_3500,1,2,6307,6306,0.999841446012367,0,0,0.0358695,146.6476705,2827.62553706513,749.308103023006,3755.7578973536,-0.00456975471830385,-0.00256653246817376,0.0461287596894771,0.0463509190210244,-0.351205400518861,0.337923608694629
1000_2500_3500,1,3,6307,6306,0.999841446012367,0,0,0.0444963,146.6607987,2827.61505598295,747.94536650711,3755.77450329833,0.0542197349578557,0.0590929822311754,0.0483230159582295,0.0726259129365749,-0.270021215698102,0.47553687581257
1000_2500_3500,1,4,6307,6306,0.999841446012367,0,0,0.0532303,146.6741143,2827.60435728322,746.295348923121,3755.72323884062,0.0199963666329846,0.0241192715554668,0.0436062955865107,0.0479693876722619,-0.273791119692155,0.255247790099616
1000_2500_3500,1,5,6307,6307,1,0,0,0.0095581,146.6874299,2827.32706617259,744.563855472475,3755.71032331941,-0.0290844338292794,-0.0245808929985909,0.0504682892616872,0.0582455892537703,-0.878814553996316,0.357286201434879
1000_2500_3500,1,6,6307,6307,1,0,0,0.0183361,146.7008707,2827.31607156538,742.792746253402,3755.6974708206,0.0290093568199204,0.0280321280217873,0.0464650028328612,0.0547740536555472,-0.191621053692809,0.243142860467139
1000_2500_3500,2,1,6307,6306,0.999841446012367,0,0,0.0360397,146.6479233,2827.62534181092,749.282725694507,3755.75882390319,-0.00453545188365618,0.000886920702168869,0.0464914603535501,0.0467084943859106,-0.411479745429362,0.216224007043985
1000_2500_3500,2,2,6307,6306,0.999841446012367,0,0,0.0448495,146.6613617,2827.61460697179,747.885850382656,3755.77450329833,0.0418365388339975,0.0411240459672671,0.0473944269425803,0.0632152788600379,-0.28248303728742,0.323810975997803
1000_2500_3500,2,3,6307,6306,0.999841446012367,0,0,0.0534837,146.6744843,2827.60405663522,746.245595857709,3755.72723181427,0.0178523536140121,0.0219652889429347,0.050151582276045,0.0532305258202558,-0.417397856812137,0.319896328983194
1000_2500_3500,2,4,6307,6307,1,0,0,0.0098085,146.6878229,2827.32673505227,744.513735523708,3755.7117397906,-0.0430385358383141,-0.040082189854421,0.0520960289866931,0.0675713066942067,-0.938017040246181,0.315031349418094
1000_2500_3500,2,5,6307,6307,1,0,0,0.0185405,146.7011911,2827.31581256502,742.749747123303,3755.69637640038,0.0205138623733959,0.0209870843576678,0.0490464437661681,0.0531600487721697,-0.372370159575283,0.393687720567452
1000_2500_3500,2,6,6307,6307,1,0,0,0.0273311,146.7146361,2827.30515916217,742.142565586797,3755.69644153828,-0.0116865852698729,-0.0026235881873211,0.0552178698253863,0.0564367432629696,-0.302144951827382,0.239600140838493
1000_2500_3500,3,1,6307,6306,0.999841446012367,0,0,0.0406637,146.6549605,2827.61973081522,748.562537089315,3755.77450329833,0.0416186087848943,0.0459403959521622,0.0477530015902626,0.0633411094178293,-0.128724322023152,0.269339265405892
1000_2500_3500,3,2,6307,6306,0.999841446012367,0,0,0.0494965,146.6684125,2827.60893638223,747.062057107834,3755.75513301012,0.0407830026122336,0.0443197510547668,0.044610569311684,0.0604403888769295,-0.182052687526725,0.371522246521112
1000_2500_3500,3,3,6307,6307,1,0,0,0.0057011,146.6815437,2827.33198288177,745.314532425162,3755.74686101987,0.00614668169000286,0.00283239333533411,0.048737412964204,0.0491196549187632,-0.985258439121458,0.446284348859279
1000_2500_3500,3,4,6307,6307,1,0,0,0.0144561,146.6949123,2827.32088148691,743.592390500496,3755.7183777773,0.0325629444079559,0.0342682928482236,0.0460819361453598,0.0564229872562462,-0.196345285410304,0.304327712092623
1000_2500_3500,3,5,6307,6307,1,0,0,0.0231859,146.7082853,2827.31013433008,742.142565586797,3755.71837670988,0.039842027732071,0.0398056652044661,0.0469616120132538,0.0615827126946483,-0.238438384669677,0.428255824035814
1000_2500_3500,3,6,6307,6306,0.999841446012367,0,0,0.0319585,146.6417217,2827.63025650634,749.905273322745,3755.73696575592,0.0306728713306369,0.0328867417269946,0.0361014864105721,0.0473701982029879,-0.241132840484776,0.287507192195695
