sensorId,bladeId,pointCount,lapCount,selectedWindowMm,selectedSpanBins,supportLeftMm,supportRightMm,querySafeLeftMm,querySafeRightMm
1,1,108039,20,1.62,81,-3.59607929519305,3.40392070480695,-3.10607929519305,2.91392070480695
2,1,107420,20,1.62,81,-3.51116081320323,3.44883918679677,-3.02116081320323,2.95883918679677
3,1,107716,20,1.62,81,-3.48746282288016,3.49253717711984,-2.99746282288016,3.00253717711984
1,2,109579,20,1.62,81,-3.54265183191661,3.55734816808339,-3.05265183191661,3.06734816808339
2,2,107427,20,1.62,81,-3.51361050043552,3.44638949956448,-3.02361050043552,2.95638949956448
3,2,108961,20,1.62,81,-3.50942541430389,3.55057458569611,-3.01942541430389,3.06057458569611
1,3,108333,20,1.62,81,-3.57709212372963,3.44290787627037,-3.08709212372963,2.95290787627037
2,3,109582,20,1.62,81,-3.5432325536559,3.5567674463441,-3.0532325536559,3.0867674463441
3,3,109593,20,1.62,81,-3.51764313645236,3.58235686354764,-3.02764313645236,3.09235686354765
1,4,108965,20,1.62,81,-3.57874817613599,3.48125182386401,-3.08874817613599,2.99125182386401
2,4,109268,20,1.62,81,-3.52924650846817,3.55075349153184,-3.03924650846817,3.06075349153184
3,4,110815,20,1.62,81,-3.62661910077846,3.55338089922154,-3.13661910077846,3.06338089922154
1,5,110826,20,1.62,81,-3.63839900087607,3.54160099912394,-3.14839900087606,3.05160099912394
2,5,109582,20,1.62,81,-3.55098860928998,3.54901139071002,-3.06098860928998,3.05901139071002
3,5,109277,20,1.62,81,-3.51506404769371,3.56493595230629,-3.02506404769371,3.07493595230629
1,6,107727,20,1.62,81,-3.59305825330055,3.38694174669946,-3.10305825330055,2.89694174669946
2,6,107423,20,1.62,81,-3.48112739211696,3.47887260788304,-2.99112739211696,2.98887260788304
3,6,108044,20,1.62,81,-3.51214982204249,3.48785017795751,-3.02214982204249,2.99785017795751
