channel_id,file_id,first_sample,last_sample,first_time_s,last_time_s,n_samples,is_global_continuous,needs_offset,computed_offset_s
1,1000,1,10010000,2e-07,2.002,10009891,1,0,0
1,2000,10010001,20010000,2.0020002,4.002,10000000,1,0,0
1,3000,20010001,30010000,4.0020002,6.002,10000000,1,0,0
1,4000,30010001,40010000,6.0020002,8.002,10000000,1,0,0
1,5193,40010001,41940000,8.0020002,8.388,1930000,1,0,0
2,1000,33,10010000,6.6e-06,2.002,10009880,1,0,0
2,2000,10010001,20010000,2.0020002,4.002,10000000,1,0,0
2,3000,20010001,30010000,4.0020002,6.002,10000000,1,0,0
2,4000,30010001,40010000,6.0020002,8.002,10000000,1,0,0
2,5193,40010001,41940000,8.0020002,8.388,1930000,1,0,0
3,1000,2,10010000,4e-07,2.002,10009893,1,0,0
3,2000,10010001,20010000,2.0020002,4.002,10000000,1,0,0
3,3000,20010001,30010000,4.0020002,6.002,10000000,1,0,0
3,4000,30010001,40010000,6.0020002,8.002,10000000,1,0,0
3,5193,40010001,41940000,8.0020002,8.388,1930000,1,0,0
4,1000,32,10010000,6.4e-06,2.002,9639082,1,0,0
4,2000,10010001,20010000,2.0020002,4.002,9631441,1,0,0
4,3000,20010001,30010000,4.0020002,6.002,9630809,1,0,0
4,4000,30010001,40010000,6.0020002,8.002,9632838,1,0,0
4,5193,40010001,41940000,8.0020002,8.388,1857401,1,0,0
