case_name,blade_id,sensor_tag,window_id,lap_start,lap_end,window_center_time_s,rot_freq_mean_hz,rot_rpm_mean,A_id,EO_id,fn_id,phi_id_wrapped,dx_c_id,d0_id,sensor_eta_max_abs_mm,decision_score,static_residual_rmse_mm,seed_weighted_voltage_rmse,weighted_voltage_rmse,plain_voltage_rmse,second_best_EO_id,second_best_rmse_v,second_best_decision_score,eo_decision_score_gap,eo_decision_score_gap_ratio,eo_rmse_gap_v,eo_rmse_gap_ratio,eo_candidate_count,eo_finite_candidate_count,eo_top_list,core_EO_id,expanded_EO_id,phase_reference_EO_id,final_EO_changed_after_expansion,valid_segment_count,valid_sensor_count,valid_lap_count,expected_valid_pass_count,min_valid_pass_count,min_valid_sensor_count,min_valid_lap_count,valid_pass_fraction,point_count,vp_point_count,core_vp_point_count,expanded_vp_point_count,vp_screening_policy,vp_screening_fallback,candidate_point_count,core_point_count,expanded_point_count,inside_domain_count,inside_guard_count,dynamic_effective_count,main_pulse_count,query_guard_source,query_guard_mean_mm,query_safe_left_min_mm,query_safe_right_max_mm,local_A_id,local_EO_id,local_fn_id,local_phi_id_wrapped,local_dx_c_id,local_decision_score,local_weighted_voltage_rmse,local_plain_voltage_rmse,local_status,local_failure_reason,joint_reported_EO_id,reported_eo_source,reported_refit_applied,reported_refit_status,reported_refit_failure_reason,reported_vs_local_rmse_delta_v,reported_vs_local_rmse_ratio,fit_stage,status,failure_reason
1000_2500_3500,5,S123,1,1,3,31.9197919,35.0162247855496,2100.97348713298,0.291471469318357,6,210.097348713298,2.16783850721873,0.0809900442972206,0.0809900442972206,0,0.0221904777875221,0.107615372396239,0.0221941779519097,0.0221904777875221,0.0614177375556509,18,0.0223484483845089,0.0223484483845089,0.000157970596986808,0.00711884613298574,0.000157970596986808,0.00711884613298574,7,7,6|18|28|19|17,6,NaN,NaN,0,9,3,3,9,5,2,2,1,20181,20181,20181,NaN,fit_bundle,,54000,20181,20181,23415,20251,22898,20181,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.291471469318357,6,210.097348713298,2.16783850721873,0.0809900442972206,0.0221904777875221,0.0221904777875221,0.0614177375556509,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,2,2,4,31.9483405,35.0312763073328,2101.87657843997,0.304134335394916,6,210.187657843997,2.1706846653373,0.080687879309906,0.080687879309906,0,0.022259968185964,0.110478879889813,0.0222639758625046,0.022259968185964,0.0616883662130952,18,0.0225235858583504,0.0225235858583504,0.000263617672386363,0.0118426796563252,0.000263617672386363,0.0118426796563252,7,7,6|18|28|17|16,6,NaN,NaN,0,9,3,3,9,5,2,2,1,20162,20162,20162,NaN,fit_bundle,,54000,20162,20162,23407,20243,22921,20162,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.304134335394916,6,210.187657843997,2.1706846653373,0.080687879309906,0.022259968185964,0.022259968185964,0.0616883662130952,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,3,3,5,31.9768837,35.0441381513403,2102.64828908042,0.0985172837060999,28,981.235868237528,-2.29621315064897,0.0221930819678729,0.0221930819678729,0,0.0228383827264151,0.106018222621995,0.0228606483024621,0.0228383827264151,0.0619475562030469,6,0.022863889518239,0.022863889518239,2.55067918238684e-05,0.0011168387941221,2.55067918238684e-05,0.0011168387941221,7,7,28|6|18|17|16,28,NaN,NaN,0,9,3,3,9,5,2,2,1,20178,20178,20178,NaN,fit_bundle,,54000,20178,20178,23399,20234,22861,20178,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0985172837060999,28,981.235868237528,-2.29621315064897,0.0221930819678729,0.0228383827264151,0.0228383827264151,0.0619475562030469,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,4,4,6,32.0054159,35.0583535558267,2103.5012133496,0.0954242952334508,28,981.633899563149,-2.37140158304942,0.0160684692369429,0.0160684692369429,0,0.0226613156219783,0.0977939563478147,0.022687841731309,0.0226613156219783,0.0627088168715478,18,0.0239783166350218,0.0239783166350218,0.00131700101304342,0.0581167057999984,0.00131700101304342,0.0581167057999984,7,7,28|18|17|6|16,28,NaN,NaN,0,9,3,3,9,5,2,2,1,20214,20214,20214,NaN,fit_bundle,,54000,20214,20214,23390,20227,22892,20214,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.0954242952334508,28,981.633899563149,-2.37140158304942,0.0160684692369429,0.0226613156219783,0.0226613156219783,0.0627088168715478,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,5,5,7,32.0339345,35.074374561065,2104.4624736639,0.132360478225077,18,631.338742099171,-0.122367616709751,0.0689617472675959,0.0689617472675959,0,0.0227869151876259,0.090329133108403,0.0227942579543536,0.0227869151876259,0.060518327151607,28,0.0233067306919232,0.0233067306919232,0.000519815504297305,0.0228120173361413,0.000519815504297305,0.0228120173361413,7,7,18|28|6|17|19,18,NaN,NaN,0,9,3,3,9,5,2,2,1,20187,20187,20187,NaN,fit_bundle,,54000,20187,20187,23377,20216,22852,20187,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.132360478225077,18,631.338742099171,-0.122367616709751,0.0689617472675959,0.0227869151876259,0.0227869151876259,0.060518327151607,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,6,6,8,32.0624371,35.0893595236248,2105.36157141749,0.135032159990538,18,631.608471425246,-0.220442273710911,0.0606274244320935,0.0606274244320935,0,0.0208004937478579,0.0935091472652672,0.0208111544870314,0.0208004937478579,0.0605190077935686,6,0.0219878033371237,0.0219878033371237,0.0011873095892658,0.0570808368136972,0.0011873095892658,0.0570808368136972,7,7,18|6|28|17|19,18,NaN,NaN,0,9,3,3,9,5,2,2,1,20136,20136,20136,NaN,fit_bundle,,54000,20136,20136,23367,20207,22820,20136,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.135032159990538,18,631.608471425246,-0.220442273710911,0.0606274244320935,0.0208004937478579,0.0208004937478579,0.0605190077935686,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,7,7,9,32.0909323,35.1036130059574,2106.21678035744,0.154157793964444,18,631.865034107233,-0.344111626275868,0.0598574526117151,0.0598574526117151,0,0.0201527051346216,0.0891036493573981,0.0201657869635952,0.0201527051346216,0.0574709179080839,6,0.0221881577382017,0.0221881577382017,0.0020354526035801,0.101001458116075,0.0020354526035801,0.101001458116075,7,7,18|6|17|28|25,18,NaN,NaN,0,9,3,3,9,5,2,2,1,20123,20123,20123,NaN,fit_bundle,,54000,20123,20123,23356,20199,22732,20123,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.154157793964444,18,631.865034107233,-0.344111626275868,0.0598574526117151,0.0201527051346216,0.0201527051346216,0.0574709179080839,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,8,8,10,32.1194127,35.1160495201023,2106.96297120614,0.16082234652242,18,632.088891361841,-0.430556883692636,0.054102750982913,0.054102750982913,0,0.0198116472055792,0.0890890090962423,0.0198202492762771,0.0198116472055792,0.0561669854010906,6,0.0225974003132294,0.0225974003132294,0.00278575310765028,0.140611887479289,0.00278575310765028,0.140611887479289,7,7,18|6|19|17|7,18,NaN,NaN,0,9,3,3,9,5,2,2,1,20081,20081,20081,NaN,fit_bundle,,54000,20081,20081,23347,20191,22671,20081,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.16082234652242,18,632.088891361841,-0.430556883692636,0.054102750982913,0.0198116472055792,0.0198116472055792,0.0561669854010906,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,9,9,11,32.1478833,35.1298975018376,2107.79385011026,0.165913233956798,18,632.338155033078,-0.52720221056122,0.0477632402981171,0.0477632402981171,0,0.0207217163129784,0.0879414721436873,0.0207236827180834,0.0207217163129784,0.0552971766293387,6,0.0245492390471418,0.0245492390471418,0.00382752273416335,0.184710700424274,0.00382752273416335,0.184710700424274,7,7,18|6|7|19|26,18,NaN,NaN,0,9,3,3,9,5,2,2,1,20061,20061,20061,NaN,fit_bundle,,54000,20061,20061,23337,20182,22682,20061,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.165913233956798,18,632.338155033078,-0.52720221056122,0.0477632402981171,0.0207217163129784,0.0207217163129784,0.0552971766293387,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
1000_2500_3500,5,S123,10,10,12,32.1763481,35.1459954158006,2108.75972494804,0.166914693740944,18,632.627917484411,-0.67503521650653,0.0418287644171301,0.0418287644171301,0,0.0214516386707646,0.0829798247911014,0.021463713192713,0.0214516386707646,0.0555494971614333,7,0.0258719719556007,0.0258719719556007,0.00442033328483612,0.206060401849878,0.00442033328483612,0.206060401849878,7,7,18|7|6|19|15,18,NaN,NaN,0,9,3,3,9,5,2,2,1,19953,19953,19953,NaN,fit_bundle,,54000,19953,19953,23327,20172,22623,19953,step04_x_query_safe_domain,0.5,-3.14839900087606,3.07493595230629,0.166914693740944,18,632.627917484411,-0.67503521650653,0.0418287644171301,0.0214516386707646,0.0214516386707646,0.0555494971614333,ok,,NaN,realtime_window_local,0,,,NaN,NaN,core_query_safe,ok,
