target_snr_db,measured_snr_db_mean,noise_ratio,mean_freq_error_Hz_mean,mean_freq_error_Hz_std,mean_amp_error_mm_mean,mean_amp_error_mm_std,profile_rmse_mean,profile_rmse_std,profile_elapsed_s_mean,profile_elapsed_s_std,num_trials
50,49.9871804030222,0.000525432124279254,0.000692528819608166,0.000409721565121915,8.82532873877166e-05,4.98162109884347e-05,6.71779063403362e-05,3.51214987438308e-07,0.4018268,0.0319041227981589,3
45,44.9973756339333,0.000934365127978809,0.001237826953286,0.000633528518365283,0.000106599352488264,2.49510655368738e-05,0.000108744799382304,9.34942914378696e-07,0.369545766666667,0.0193535544617348,3
40,39.9762653867527,0.0016615622685431,0.00340493047410935,0.00173389703013289,0.000284248566390602,4.21729134316814e-05,0.000186192105324252,3.80318456438336e-06,0.366260166666667,0.00865828954028066,3
35,35.0075003649054,0.00295472197064776,0.00681026115734085,0.00224517987896645,0.000262021184627093,0.000145636127769401,0.000331940536035063,4.07626023676373e-06,0.392073733333333,0.00695899030774819,3
30,29.9749284998507,0.00525432124279254,0.010351664249896,0.00422545209168451,0.000610658466805432,0.000542513092879071,0.000581091244930659,1.69131696168372e-06,0.403635233333333,0.00485895831463221,3
25,24.9674033476758,0.0093436512797881,0.0206808689432592,0.00136996799342106,0.0011694579840182,0.000190776140056376,0.00102762313845494,1.27800136340011e-05,0.419962733333333,0.0111368093677379,3
20,19.9797748296063,0.016615622685431,0.0368022822286491,0.005878253175455,0.00199848125873325,0.00134245090534269,0.00183736944385818,1.37300772964019e-05,0.486194166666667,0.0339744914147855,3
15,15.0364356502075,0.0295472197064776,0.0612395310227119,0.0338850219476588,0.00361554499182539,0.00227176703148014,0.00322785756173035,6.75946380519673e-05,0.4732775,0.0163966846218984,3
10,10.0089384156098,0.0525432124279254,50.0457000709195,86.5074383335443,0.0103292196091512,0.00892978027245611,0.00578118469286414,2.33166084305798e-05,0.529829466666667,0.0397562204081743,3
5,5.01468835588296,0.093436512797881,124.820206828558,43.4446336137624,0.0215529857600814,0.014634949915127,0.0101781366274779,5.59034966839519e-05,0.628711066666667,0.0511100407389129,3
0,0.00728208963707161,0.16615622685431,99.8755341047366,86.3747514884913,0.0144017295597626,0.0147252881929664,0.0176569726728871,0.000248414317745536,0.931944866666667,0.227791398666024,3
