target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,mean_freq_error_Hz,mean_amp_error_mm,profile_rmse,profile_elapsed_s,case_elapsed_s,num_point_samples
50,49.9505840845708,0.000525432124279254,1,20261431,0.000461556082967718,0.000145769258037248,6.75219144991123e-05,0.4251116,0.7631273,2120
50,50.0025743399896,0.000525432124279254,2,20261432,0.00116559099404867,6.02632326756336e-05,6.68199029130383e-05,0.3654612,0.6872471,2120
50,50.0083827845062,0.000525432124279254,3,20261433,0.00045043938180811,5.87273714502679e-05,6.7191901608858e-05,0.4149076,0.7211206,2120
45,45.011900554456,0.000934365127978809,1,20262431,0.000514780597143272,0.000130837842757678,0.000108074046526429,0.3918455,0.7491111,2120
45,44.9911751308919,0.000934365127978809,2,20262432,0.00150311417792182,8.09920621460403e-05,0.000108347587107149,0.3596614,0.6802999,2120
45,44.9890512164521,0.000934365127978809,3,20262433,0.00169558608479292,0.000107968152561075,0.000109812764513334,0.3571304,0.6604024,2120
40,40.0285079842865,0.0016615622685431,1,20263431,0.00518468156880658,0.000326056616503936,0.000182850775517542,0.3590742,0.6552355,2122
40,39.9652990887162,0.0016615622685431,2,20263432,0.00172084875592304,0.000284969060672102,0.000190330734808564,0.3638334,0.6598543,2126
40,39.9349890872554,0.0016615622685431,3,20263433,0.00330926109759844,0.000241720021995767,0.00018539480564665,0.3758729,0.7060325,2122
35,34.9671044274919,0.00295472197064776,1,20264431,0.00837894926681315,0.00011227364137345,0.000336614976662476,0.3845691,0.6948228,2134
35,35.026880777307,0.00295472197064776,2,20264432,0.00781344217944024,0.000403164381170606,0.000330080915065385,0.3983136,0.7289657,2132
35,35.0285158899172,0.00295472197064776,3,20264433,0.00423839202576914,0.000270625531337221,0.000329125716377329,0.3933385,0.724936,2134
30,29.9667524652566,0.00525432124279254,1,20265431,0.0137764621844099,0.00115083502366128,0.00058222573692882,0.4092368,0.729659,2151
30,30.00122184357,0.00525432124279254,2,20265432,0.0116488358018216,6.58386439332387e-05,0.000581900679357262,0.4011107,0.72144,2147
30,29.9568111907255,0.00525432124279254,3,20265433,0.00562969476345643,0.000615301732821774,0.000579147318505895,0.4005582,0.72224,2145
25,25.0132880765217,0.0093436512797881,1,20266431,0.01945783049581,0.00118395436496234,0.0010132522284013,0.4291434,0.7541106,2176
25,24.9563838758694,0.0093436512797881,2,20266432,0.0204235124451202,0.000971847174265322,0.00103771315139269,0.407574,0.7265948,2157
25,24.9325380906362,0.0093436512797881,3,20266433,0.0221612638888473,0.00135257241282695,0.00103190403557083,0.4231708,0.7685099,2163
20,19.9924363547025,0.016615622685431,1,20267431,0.0435757453493579,0.00313843398786851,0.00183539607015802,0.4534629,0.7770062,2204
20,19.9975709503875,0.016615622685431,2,20267432,0.0330360662693465,0.000518804248481441,0.00185197943316195,0.4838311,0.8307665,2206
20,19.9493171837289,0.016615622685431,3,20267433,0.0337950350672429,0.0023382055398498,0.00182473282825457,0.5212885,0.9197782,2198
15,15.0577683094302,0.0295472197064776,1,20268431,0.0221695019277774,0.00159893469857052,0.00315535259264009,0.4572842,0.7993378,2256
15,15.0075927220604,0.0295472197064776,2,20268432,0.0789457940058469,0.00317096072794219,0.00323908391620526,0.4724985,0.8002853,2262
15,15.0439459191318,0.0295472197064776,3,20268433,0.0826032971345114,0.00607673954896347,0.0032891361763457,0.4900498,0.8129245,2256
10,10.0359793393848,0.0525432124279254,1,20269431,0.0837712614908526,0.00181970855687515,0.00580762883053796,0.5341968,0.8580894,2296
10,9.98435090004991,0.0525432124279254,2,20269432,149.93588379651,0.0196270041806884,0.0057635814237669,0.5672217,0.9223658,2312
10,10.0064850073948,0.0525432124279254,3,20269433,0.117445154757462,0.00954094608989006,0.00577234382428756,0.4880699,0.8181888,2320
5,5.0361128777658,0.093436512797881,1,20270431,74.6546717030105,0.0343483464016724,0.0102258944518641,0.6633834,0.9946393,2331
5,5.00284891666675,0.093436512797881,2,20270432,149.880524231515,0.00559545091335331,0.0101166466318264,0.5700154,0.8978601,2330
5,5.00510327321633,0.093436512797881,3,20270433,149.925424551147,0.0247151599652184,0.0101918687987432,0.6527344,0.9796415,2327
0,0.046224111452494,0.16615622685431,1,20271431,149.487601513617,0.00814794038524842,0.0173752058450233,0.8183669,1.2107772,2336
0,-0.0308578897424771,0.16615622685431,2,20271432,0.139000800592953,0.00383549802160689,0.0178443884873338,1.1941942,1.5148629,2347
0,0.00648004720119802,0.16615622685431,3,20271433,150,0.0312217502724324,0.0177513236863042,0.7832735,1.1293115,2327
