method,target_snr_db,freq_error_mean_Hz,freq_error_median_Hz,freq_error_std_Hz,amp_error_mean_mm,rmse_mean,elapsed_mean_s,gap_error_mean_mm,success_rate,num_trials
A_blind_transfer,50,0.000802703254962012,0.000802703254962012,0.000482567795488012,0.0001025745309811,6.71629405388729e-05,0.9192475,NaN,1,2
B_gap_library_joint,50,0.000990622924035733,0.000990622924035733,0.000260371574377,0.000284004406659641,0.000187504352753299,1.8002299,0.00673657484252038,1,2
C_same_gap_direct,50,0.000817972890757801,0.000817972890757801,0.000504553379552911,0.000100203174206656,5.83091462284633e-05,0.30967985,0,1,2
A_blind_transfer,40,0.00185804333519002,0.00185804333519002,0.00131072782488533,0.000226479774787784,0.000184803793079985,0.3882896,NaN,1,2
B_gap_library_joint,40,0.00182199206371081,0.00182199206371081,0.000578427773257965,0.000319595326634919,0.000258200371886768,1.80701095,0.00675943577673876,1,2
C_same_gap_direct,40,0.00173675182534794,0.00173675182534794,0.0015661883182047,0.000204516417468069,0.000186926818100932,0.33371695,0,1,2
A_blind_transfer,30,0.0119806740809167,0.0119806740809167,0.00851622111576965,0.00104036685301358,0.000579428355110484,0.41743405,NaN,1,2
B_gap_library_joint,30,0.0109319745835705,0.0109319745835705,0.00679164796934578,0.000918712320637553,0.000618641036132134,1.96798975,0.00661982222861401,1,2
C_same_gap_direct,30,0.0113452725189944,0.0113452725189944,0.00700138608517398,0.00101307487495556,0.000593089821855586,0.40250135,0,1,2
A_blind_transfer,20,0.0641970612364702,0.0641970612364702,0.0230848693021021,0.00131814126938631,0.00187485024682705,0.4466329,NaN,1,2
B_gap_library_joint,20,0.0413363688697643,0.0413363688697643,0.00174935604710607,0.00144775020125553,0.00191413502276108,2.1095493,0.00738425537347792,1,2
C_same_gap_direct,20,0.0418776184194769,0.0418776184194769,0.00252770912867278,0.00119932289365311,0.00190393100377554,0.4102158,0,1,2
A_blind_transfer,15,0.0727989984520292,0.0727989984520292,0.00812945471849985,0.00218246366462672,0.00327077884193237,0.5737621,NaN,1,2
B_gap_library_joint,15,0.054177121164301,0.054177121164301,0.00756737024223365,0.0036566618922972,0.003349216424885,2.18560915,0.00687359896083234,1,2
C_same_gap_direct,15,0.0548148241074671,0.0548148241074671,0.0111794440107325,0.00387329451801915,0.00334787448567592,0.429105,0,1,2
A_blind_transfer,10,0.136322023453843,0.136322023453843,0.0080750201322685,0.00483507754891397,0.00575414866280234,0.6558435,NaN,1,2
B_gap_library_joint,10,0.0752766643370109,0.0752766643370109,0.0180476244757436,0.00497901742421161,0.00583124666991036,2.18693425,0.00639746992487594,1,2
C_same_gap_direct,10,0.073996667089105,0.073996667089105,0.00444614286623711,0.00432779562735458,0.00582531600274366,0.418445,0,1,2
