method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s
A_blind_transfer,50,49.9505840845708,0.000525432124279254,1,20261431,NaN,NaN,499.999861496773,1300.00078444936,0.249864346225167,0.150155016257483,0.000461476294390195,0.000145335016158307,6.75219764148532e-05,1.4636431
B_gap_library_joint,50,49.9505840845708,0.000525432124279254,1,20261431,0.993279526342173,0.00672047365782724,500.000300371729,1300.00131265311,0.250207808075693,0.150284626515534,0.000806512418165539,0.000246217295613749,0.000187403454632797,1.8417512
C_same_gap_direct,50,49.9505840845708,0.000525432124279254,1,20261431,1,0,499.999807768811,1300.00073016836,0.249867966957911,0.150127654226614,0.000461199774605348,0.000129843634351715,5.86411572581142e-05,0.3051653
A_blind_transfer,50,50.0025743399896,0.000525432124279254,2,20261432,NaN,NaN,499.998465360414,1300.00075322084,0.250021939356449,0.150097688735158,0.00114393021553383,5.98140458038937e-05,6.68039046628926e-05,0.3748519
B_gap_library_joint,50,50.0025743399896,0.000525432124279254,2,20261432,0.993247323972786,0.00675267602721352,499.999014867355,1300.00136433421,0.250342991314516,0.150300591720896,0.00117473342990593,0.000321791517705533,0.0001876052508738,1.7587086
C_same_gap_direct,50,50.0025743399896,0.000525432124279254,2,20261432,1,0,499.998399299312,1300.00074879133,0.250028847112129,0.150112278315995,0.00117474600691025,7.05627140615978e-05,5.79771351988124e-05,0.3141944
A_blind_transfer,40,40.011900554456,0.0016615622685431,1,20262431,NaN,NaN,500.001156063422,1300.00070637418,0.249714932086843,0.150208190622959,0.000931218801923706,0.00024662926805849,0.000184088742409059,0.3936586
B_gap_library_joint,40,40.011900554456,0.0016615622685431,1,20262431,0.993227465455493,0.0067725345445071,500.001941806642,1300.00088415708,0.2500811857503,0.150398746074936,0.00141298186281347,0.000239965912618406,0.000258518548215619,1.7960689
C_same_gap_direct,40,40.011900554456,0.0016615622685431,1,20262431,1,0,500.000854533355,1300.00040404553,0.249658504606422,0.15023641474121,0.000629289444930237,0.000288955067394125,0.000186858415972888,0.3183939
A_blind_transfer,40,39.9911751308919,0.0016615622685431,2,20262432,NaN,NaN,499.997016465189,1299.99741379907,0.24990066503684,0.150313325599874,0.00278486786845633,0.000206330281517078,0.000185518843750911,0.3829206
