method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
A_blind_transfer,20,19.9505840845708,0.016615622685431,1,20261431,NaN,NaN,499.979438278564,1300.06635733445,0.245287282140339,0.153486509815104,0.0434595279449184,0.00409961383738236,0.00180259032203123,3.8076925,1,0,0,0,NaN,NaN
A2_constrained_varpro,20,19.9505840845708,0.016615622685431,1,20261431,NaN,NaN,499.992191418969,1300.02537604129,0.24593074915238,0.153627013408237,0.0165923111604229,0.00384813212792881,0.0018343768232392,1.0954431,1,0,0,0,0.965583150664017,2.17151247885881
B_gap_library_joint,20,19.9505840845708,0.016615622685431,1,20261431,0.993907565180122,0.00609243481987787,499.986369354261,1300.0199544403,0.245626568799637,0.154621187196615,0.0167925430206139,0.00449730919848898,0.00185855968728812,0.5997639,1,0,0,0,NaN,NaN
C_same_gap_direct,20,19.9505840845708,0.016615622685431,1,20261431,1,0,499.987003081234,1300.01741951837,0.245851242904297,0.154197299477057,0.0152082185655047,0.0041730282863804,0.00185531123859784,0.2665461,1,0,0,0,NaN,NaN
A_blind_transfer,20,20.0025743399896,0.016615622685431,2,20261432,NaN,NaN,499.916347904085,1300.01140963403,0.248626751834449,0.154276247595138,0.047530864973055,0.00282474788034463,0.00181086812717031,2.6684822,1,0,0,0,NaN,NaN
A2_constrained_varpro,20,20.0025743399896,0.016615622685431,2,20261432,NaN,NaN,499.950281787319,1300.02382470593,0.250585723869807,0.153901169777979,0.0367714593079143,0.00224344682389299,0.00181905734159986,0.8171313,1,0,0,0,0.965435718580253,2.18258043250125
B_gap_library_joint,20,20.0025743399896,0.016615622685431,2,20261432,0.992941652341477,0.00705834765852309,499.950176580709,1300.0254217928,0.249768343465968,0.155428586357087,0.0376226060430156,0.00283012144555976,0.00183509740924324,0.4839235,1,0,0,0,NaN,NaN
C_same_gap_direct,20,20.0025743399896,0.016615622685431,2,20261432,1,0,499.948746620384,1300.01867684957,0.250807673651392,0.153975489775733,0.0349651145951384,0.00239158171356255,0.00182982227464074,0.2587949,1,0,0,0,NaN,NaN
A_blind_transfer,20,20.0083827845062,0.016615622685431,3,20261433,NaN,NaN,500.008001742739,1300.04671245566,0.252118919452168,0.145012003777201,0.0273570992004011,0.00355345783748377,0.001812245585352,2.6364654,1,0,0,0,NaN,NaN
A2_constrained_varpro,20,20.0083827845062,0.016615622685431,3,20261433,NaN,NaN,500.013270303941,1300.0055500624,0.250586198565574,0.149534327695586,0.00941018317237763,0.000525935434994032,0.00183602694313523,0.85802,1,0,0,0,0.965323323366611,2.17810285831363
B_gap_library_joint,20,20.0083827845062,0.016615622685431,3,20261433,0.992584213629786,0.00741578637021356,500.016414899006,1300.00516598656,0.250966059755197,0.149422128985931,0.0107904427831329,0.000771965384633214,0.00185228373171256,0.4945312,1,0,0,0,NaN,NaN
C_same_gap_direct,20,20.0083827845062,0.016615622685431,3,20261433,1,0,500.013746574019,1300.01064977329,0.25032679776081,0.149552686968589,0.0121981736561736,0.000387055396110308,0.00185053239052736,0.2017749,1,0,0,0,NaN,NaN
A_blind_transfer,20,20.0059717701325,0.016615622685431,4,20261434,NaN,NaN,499.956415277244,1299.94229243685,0.254255078246247,0.147509808067477,0.050646142954264,0.00337263508938468,0.00182319926056395,2.8088211,1,0,0,0,NaN,NaN
A2_constrained_varpro,20,20.0059717701325,0.016615622685431,4,20261434,NaN,NaN,500.001616324443,1299.9828738873,0.254530348114794,0.148280816873801,0.00937121857344891,0.00312476562049673,0.00183966248201457,0.9018144,1,0,0,0,0.965751619355145,2.17320484577913
B_gap_library_joint,20,20.0059717701325,0.016615622685431,4,20261434,0.992893940391981,0.0071060596080188,500.007805546093,1299.98491596947,0.253660104091877,0.150448516789726,0.0114447883132129,0.00205431044080129,0.00186966310965558,0.4633109,1,0,0,0,NaN,NaN
C_same_gap_direct,20,20.0059717701325,0.016615622685431,4,20261434,1,0,500.00273583052,1299.99076217346,0.252708076273678,0.150896745415716,0.00598682852796628,0.00180241084469694,0.00186342685159164,0.2431336,1,0,0,0,NaN,NaN
A_blind_transfer,20,20.0578536997877,0.016615622685431,5,20261435,NaN,NaN,500.093307654931,1300.05319543338,0.249051395140318,0.149733418273095,0.0732515441552266,0.000607593293293615,0.0018549100453603,2.035735,1,0,0,0,NaN,NaN
