method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
A_blind_transfer,20,19.9505840845708,0.016615622685431,1,20261431,NaN,NaN,499.979438278564,1300.06635733445,0.245287282140339,0.153486509815104,0.0434595279449184,0.00409961383738236,0.00180259032203123,2.0130797,1,0,0,0,NaN,NaN
A2_constrained_varpro,20,19.9505840845708,0.016615622685431,1,20261431,NaN,NaN,499.992191418969,1300.02537604129,0.24593074915238,0.153627013408237,0.0165923111604229,0.00384813212792881,0.0018343768232392,0.717235,1,0,0,0,0.965583150664017,2.17151247885881
A3_physics_template,20,19.9505840845708,0.016615622685431,1,20261431,NaN,NaN,499.991749074695,1300.0236606971,0.245884720045876,0.153804685066608,0.0159558112036393,0.00395998251036607,0.00183476472671709,0.9486343,1,0,0,0,0.965651767513976,2.17507655532643
B_gap_library_joint,20,19.9505840845708,0.016615622685431,1,20261431,0.993907565180122,0.00609243481987787,499.986369354261,1300.0199544403,0.245626568799637,0.154621187196615,0.0167925430206139,0.00449730919848898,0.00185855968728812,0.3883076,1,0,0,0,NaN,NaN
C_same_gap_direct,20,19.9505840845708,0.016615622685431,1,20261431,1,0,499.987003081234,1300.01741951837,0.245851242904297,0.154197299477057,0.0152082185655047,0.0041730282863804,0.00185531123859784,0.1688312,1,0,0,0,NaN,NaN
A_blind_transfer,20,20.0025743399896,0.016615622685431,2,20261432,NaN,NaN,499.916347904085,1300.01140963403,0.248626751834449,0.154276247595138,0.047530864973055,0.00282474788034463,0.00181086812717031,1.4627927,1,0,0,0,NaN,NaN
A2_constrained_varpro,20,20.0025743399896,0.016615622685431,2,20261432,NaN,NaN,499.950281787319,1300.02382470593,0.250585723869807,0.153901169777979,0.0367714593079143,0.00224344682389299,0.00181905734159986,0.6249946,1,0,0,0,0.965435718580253,2.18258043250125
A3_physics_template,20,20.0025743399896,0.016615622685431,2,20261432,NaN,NaN,499.950264398423,1300.02486984238,0.250421785931353,0.153790005462808,0.03730272197609,0.0021058956970802,0.00182061209376198,1.0399,1,0,0,0,0.965510237630468,2.18560811601697
B_gap_library_joint,20,20.0025743399896,0.016615622685431,2,20261432,0.992941652341477,0.00705834765852309,499.950176580709,1300.0254217928,0.249768343465968,0.155428586357087,0.0376226060430156,0.00283012144555976,0.00183509740924324,0.3072856,1,0,0,0,NaN,NaN
C_same_gap_direct,20,20.0025743399896,0.016615622685431,2,20261432,1,0,499.948746620384,1300.01867684957,0.250807673651392,0.153975489775733,0.0349651145951384,0.00239158171356255,0.00182982227464074,0.1472368,1,0,0,0,NaN,NaN
A_blind_transfer,20,20.0083827845062,0.016615622685431,3,20261433,NaN,NaN,500.008001742739,1300.04671245566,0.252118919452168,0.145012003777201,0.0273570992004011,0.00355345783748377,0.001812245585352,1.6243239,1,0,0,0,NaN,NaN
A2_constrained_varpro,20,20.0083827845062,0.016615622685431,3,20261433,NaN,NaN,500.013270303941,1300.0055500624,0.250586198565574,0.149534327695586,0.00941018317237763,0.000525935434994032,0.00183602694313523,0.6807008,1,0,0,0,0.965323323366611,2.17810285831363
A3_physics_template,20,20.0083827845062,0.016615622685431,3,20261433,NaN,NaN,500.012831550567,1300.00561949718,0.250582166322284,0.149558958557024,0.00922552387470432,0.000511603882629955,0.00183599005043708,1.0012155,1,0,0,0,0.965320613215087,2.1717489088164
B_gap_library_joint,20,20.0083827845062,0.016615622685431,3,20261433,0.992584213629786,0.00741578637021356,500.016414899006,1300.00516598656,0.250966059755197,0.149422128985931,0.0107904427831329,0.000771965384633214,0.00185228373171256,0.3252945,1,0,0,0,NaN,NaN
