时间: ,2025/9/1 15:10,,,,
操作者: ,YWP,,,,
传感器型号: ,2401900001,,,,
模块编号: ,C02-7E7-172,,,,
叶片型号: ,,,,,
试验型号: ,,,,,
拟合阶数:,5,,,,
公式形式:,1/V,,,,
底噪电平(mV):,0,,,,
拟合多项式结果,,,,,
5,4,3,2,1,0
0.09731937742660035,-0.875705016,3.0640592068539725,-5.409608105,5.726191984329436,-0.871337706
拟合误差结果,,,,,
Vraw(V),Err(mm),X(mm),Model(mm),weight,
4.508,-0.014,0.15,0.164,1,
3.704,0.004,0.34,0.336,1,
3.06,0.01,0.53,0.52,1,
2.543,0.01,0.72,0.71,1,
2.118,0.002,0.91,0.908,1,
1.775,-0.003,1.1,1.103,1,
1.488,-0.009,1.29,1.299,1,
1.253,-0.007,1.48,1.487,1,
1.053,-0.005,1.67,1.675,1,
0.894,0.007,1.86,1.853,1,
0.755,0.006,2.05,2.044,1,
0.642,0.001,2.24,2.239,1,
0.554,0.001,2.43,2.429,1,
0.471,-0.01,2.62,2.63,1,
0.401,0.007,2.81,2.803,1,
0.343,-0.001,3,3.001,1,
,,,,,
电压,间隙,,,,
0.30000000000000004,3.5302826289153657,,,,
0.4,2.8066349617249475,,,,
0.5,2.5580273160163713,,,,
0.6000000000000001,2.3256377656526794,,,,
0.7000000000000001,2.1338267664961896,,,,
0.8,1.9774237195105904,,,,
0.9,1.8457668560020546,,,,
1,1.7309197414534796,,,,
1.1,1.6279232712233174,,,,
1.2000000000000002,1.5337980920912677,,,,
1.3,1.4467320759824314,,,,
1.4000000000000001,1.3655767654337345,,,,
1.5,1.2895596944196699,,,,
1.6,1.2181245657668882,,,,
1.7000000000000002,1.1508430776357441,,,,
1.8,1.0873661185396242,,,,
1.9000000000000001,1.0273964782146712,,,,
2,0.9706733277098072,,,,
2.1,0.9169631614768101,,,,
2.2,0.8660543069280822,,,,
2.3000000000000003,0.8177534181471257,,,,
2.4000000000000004,0.7718830852490353,,,,
2.5,0.7282800820668737,,,,
2.6,0.6867939896000768,,,,
2.7,0.6472860507661696,,,,
2.8000000000000003,0.609628176914338,,,,
2.9000000000000004,0.5737020621224868,,,,
3,0.5393983806496417,,,,
3.1,0.5066160533301505,,,,
3.2,0.47526157421498094,,,,
3.3000000000000003,0.44524839163141805,,,,
3.4000000000000004,0.4164963392868685,,,,
3.5,0.3889311137671917,,,,
3.6,0.3624837951446438,,,,
3.7,0.3370904076110394,,,,
3.8000000000000003,0.3126915171882972,,,,
3.9000000000000004,0.2892318636891378,,,,
4,0.2666600242258076,,,,
4.1000000000000005,0.24492810570053522,,,,
4.2,0.22399146385766167,,,,
4.3,0.2038084466308211,,,,
4.4,0.18434015967532047,,,,
4.5,0.16555025213233696,,,,
