时间: ,2025/9/2 17:29,,,,
操作者: ,YWP,,,,
传感器型号: ,2401900003,,,,
模块编号: ,C02-7E7-171,,,,
叶片型号: ,,,,,
试验型号: ,,,,,
拟合阶数:,5,,,,
公式形式:,1/V,,,,
底噪电平(mV):,0,,,,
拟合多项式结果,,,,,
5,4,3,2,1,0
0.0002544880854671414,-0.006854851,0.07364898517977103,-0.419980736,1.546020095099697,-0.773159417
拟合误差结果,,,,,
Vraw(V),Err(mm),X(mm),Model(mm),weight,
1.371,-0.008,0.15,0.158,1,
1.094,0,0.34,0.34,1,
0.892,0.004,0.53,0.526,1,
0.735,0.004,0.72,0.716,1,
0.619,0.014,0.91,0.896,1,
0.512,0,1.1,1.1,1,
0.427,-0.012,1.29,1.302,1,
0.362,-0.008,1.48,1.488,1,
0.304,-0.014,1.67,1.684,1,
0.262,0.005,1.86,1.855,1,
0.228,0.029,2.05,2.021,1,
0.186,-0.017,2.24,2.257,1,
0.161,0.004,2.43,2.426,1,
0.132,-0.007,2.62,2.627,1,
0.115,0.008,2.81,2.802,1,
0.106,-0.003,3,3.003,1,
,,,,,
电压,间隙,,,,
0.1,3.2382510676743443,,,,
0.2,2.174539158894677,,,,
0.30000000000000004,1.6999781672552496,,,,
0.4,1.3748613462757358,,,,
0.5,1.126615712173827,,,,
0.6000000000000001,0.9282754782554463,,,,
0.7000000000000001,0.7660214449253145,,,,
0.8,0.6310326358729771,,,,
0.9,0.5171564698442278,,,,
1,0.4199285644085804,,,,
1.1,0.33603151370331064,,,,
1.2000000000000002,0.2629548139721391,,,,
1.3,0.19876849003065486,,,,
