gap_mm,case_name,mean_abs_err_x0_mm,max_abs_err_x0_mm,mean_abs_err_xi_mm,max_abs_err_xi_mm,mean_rel_err_x0_percent
0.2,No vibration,0.00062043297629809,0.00136663098432077,0.00062043297629809,0.00136663098432077,0.0165512536555362
0.2,Constant shift,0.000497196857239985,0.00171365745023344,0.000497196857239837,0.00171365745023389,0.0154324657043036
0.2,Slow linear drift,0.0276841802352426,0.0436656618767586,0.000762678657524724,0.0018266724693099,0.573301110182948
0.2,Moderate sine drift,0.103811256750015,0.144745700325088,0.00073332774000148,0.00212926906289113,2.1855392754222
0.2,Fast sine drift,0.161064952019824,0.197514127486292,0.00106561958767691,0.00457158863653095,3.93546095470591
0.4,No vibration,0.000324347722034466,0.000833107215379325,0.000324347722034466,0.000833107215379325,0.00669734921783595
0.4,Constant shift,0.00022939058275447,0.000718149439416393,0.00022939058275447,0.000718149439416393,0.00483559479155649
0.4,Slow linear drift,0.0289622885315566,0.0450931011203703,0.000235584079923276,0.000780750404709707,0.56101901042958
0.4,Moderate sine drift,0.107388312093674,0.148864644187581,0.00022690106380669,0.000537995721625606,2.13660179149649
0.4,Fast sine drift,0.150986069668888,0.198067400901676,0.000243084599445393,0.00105752910718282,3.58954086809687
0.6,No vibration,0.000277174769934064,0.00084273256664158,0.000277174769934064,0.00084273256664158,0.00564656265873763
0.6,Constant shift,0.000321785546588386,0.00132515574778314,0.000321785546588485,0.00132515574778314,0.00683478943072223
0.6,Slow linear drift,0.0295923936581133,0.0469404434057061,0.000408149187081295,0.00144169426273244,0.558385862660234
0.6,Moderate sine drift,0.109541254763397,0.15150104895336,0.000236855817137924,0.000457372836064174,2.12147946094917
0.6,Fast sine drift,0.144177713917245,0.198338816615719,0.000288773266787532,0.00112802080682251,3.42560932002378
0.8,No vibration,0.000933148698660939,0.00205577282510383,0.000933148698660939,0.00205577282510383,0.0189687782617757
0.8,Constant shift,0.00107925123700283,0.00412642212221126,0.00107925123700264,0.00412642212221037,0.0211852085061279
0.8,Slow linear drift,0.0305092158554805,0.0473929027173661,0.00126030173532908,0.00299983373096158,0.563626048253589
0.8,Moderate sine drift,0.111414856254601,0.153020722931441,0.000954196624972031,0.00325702019924989,2.12061810797027
0.8,Fast sine drift,0.140575635842602,0.198028114632178,0.000514761064112967,0.001301805680197,3.34302277911673
1,No vibration,0.000928721938151177,0.00363982988553246,0.000928721938151177,0.00363982988553246,0.0188238242615837
1,Constant shift,0.000495638694820943,0.00171536622590729,0.000495638694821091,0.00171536622590729,0.0111940934897669
1,Slow linear drift,0.031346111194714,0.0525955293300022,0.00086490683461656,0.00286740818708253,0.56752686126311
1,Moderate sine drift,0.112182124101037,0.157923545365932,0.000862609758395373,0.00324128298830573,2.10184679483883
1,Fast sine drift,0.138292440060078,0.196122747853869,0.000728198844437373,0.0021464079705833,3.27389510250899
1.2,No vibration,0.000869436693199561,0.00192704286587109,0.000869436693199561,0.00192704286587109,0.0159294197266606
1.2,Constant shift,0.0011360918115738,0.00344491246541434,0.00113609181157395,0.00344491246541434,0.0239392551163892
1.2,Slow linear drift,0.0306123305179242,0.0498689042595863,0.00129095378937229,0.0058662234245368,0.547592368265814
1.2,Moderate sine drift,0.113154502860642,0.155346501552739,0.00105823878201801,0.00378882404917835,2.09923167270966
1.2,Fast sine drift,0.137144857005462,0.193837050484128,0.000933645638305583,0.00445200407018564,3.23307872492566
1.4,No vibration,0.00209987600987225,0.00670929857728098,0.00209987600987225,0.00670929857728098,0.0369610774122488
1.4,Constant shift,0.00172063885253622,0.00822857930167231,0.00172063885253612,0.00822857930167231,0.0265001056116972
1.4,Slow linear drift,0.029886785871328,0.0492802983839198,0.00312121070401705,0.0117667115410924,0.528362851401556
1.4,Moderate sine drift,0.112107496886853,0.149307261917393,0.00236825153465602,0.0126537731771474,2.06674019013666
1.4,Fast sine drift,0.134850943405061,0.19537336598575,0.00153955222571038,0.00345381869720374,3.16584767076636
