subset_size,subset_idx,subset_gaps_mm,n_holdout,include_min_gap,include_ref_gap,include_both_endpoints,max_gap_spacing_mm,mean_holdout_rmse_pF,max_holdout_rmse_pF,mean_holdout_shape_rmse,max_holdout_shape_rmse,mean_holdout_amp_rel_err,max_holdout_amp_rel_err
2,1-2,"0.2,0.4",5,1,0,0,0.2,0.312442568220012,0.552944643578654,0.00201662229995375,0.00320636473146346,4.95172965051406,10.9224658433662
2,1-3,"0.2,0.6",5,1,0,0,0.4,0.152306327241241,0.300081145551803,0.000761328836313976,0.00121938929801385,2.45278495737744,5.92811288186656
2,1-4,"0.2,0.8",5,1,0,0,0.6,0.0882464178505046,0.171959294792214,0.000535474705019941,0.00073963823338139,1.32526117298171,3.39716882140596
2,1-5,"0.2,1.0",5,1,0,0,0.8,0.0645796385035772,0.0930644229034184,0.000417751694561955,0.000499746652410242,0.798788373154788,1.83842545236386
2,1-6,"0.2,1.2",5,1,0,0,1,0.06279188218538,0.0869024940858559,0.000424027522163129,0.000526136308225064,0.632011171414849,0.77809064470773
2,1-7,"0.2,1.4",5,1,1,1,1.2,0.0746111975544587,0.10003514022184,0.00040262552715356,0.000534394121910577,0.725184884094101,0.915033396659382
2,2-3,"0.4,0.6",5,0,0,0,0.2,0.0764612414810533,0.13153554455895,0.000966240850086086,0.00147906412110643,1.0628468031916,2.59854424086678
2,2-4,"0.4,0.8",5,0,0,0,0.4,0.0501558253725121,0.0952284142200198,0.000610552067098265,0.000833439620479221,0.59265375073031,1.51584456591589
2,2-5,"0.4,1.0",5,0,0,0,0.6,0.0390334533445571,0.102185701244485,0.000433504140900966,0.000666328869880328,0.353603407191369,0.829087631141373
2,2-6,"0.4,1.2",5,0,0,0,0.8,0.0371160382022871,0.10698279940909,0.000419491314394958,0.000657670385281333,0.265657643468012,0.355408344763626
2,2-7,"0.4,1.4",5,0,1,0,1,0.0414357218735604,0.110582920481968,0.000386516264885465,0.000641272946292693,0.294192434703283,0.357540038904193
2,3-4,"0.6,0.8",5,0,0,0,0.2,0.0457725290332051,0.128111001822304,0.000933366485783269,0.00133681398390128,0.390076146287119,0.866224760945358
