subset_size,subset_idx,subset_gaps_mm,n_holdout,include_min_gap,include_ref_gap,include_both_endpoints,max_gap_spacing_mm,mean_holdout_rmse_pF,max_holdout_rmse_pF,mean_holdout_shape_rmse,max_holdout_shape_rmse,mean_holdout_amp_rel_err,max_holdout_amp_rel_err,group_name,n_combinations,best_mean_holdout_rmse_pF,best_max_holdout_rmse_pF,best_subset_gaps_mm,mean_of_mean_holdout_rmse_pF,median_of_mean_holdout_rmse_pF,worst_mean_holdout_rmse_pF,mean_max_gap_spacing_mm
2,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,all_subsets,21,0.0371160382022871,0.10698279940909,"0.4,1.2",0.0706414061964837,0.0501558253725121,0.312442568220012,0.533333333333333
3,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,all_subsets,35,0.00436560484374983,0.00659334801603125,"0.2,0.4,1.4",0.0682503455026703,0.0333350099500461,0.963670559670329,0.537142857142857
4,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,all_subsets,35,0.00180731360085291,0.00280125391044409,"0.2,0.4,1.0,1.4",0.0240951771006167,0.0235968246366176,0.0968392255021541,0.48
5,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,all_subsets,21,0.000252589447807823,0.000378802511464905,"0.2,0.4,0.8,1.2,1.4",0.0163752015021595,0.00946896640501447,0.0623013959790735,0.40952380952381
6,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,all_subsets,7,0.000161290404995491,0.000161290404995491,"0.2,0.4,0.6,0.8,1.0,1.4",0.0130632993685149,0.000763899725496227,0.0683604064030584,0.342857142857143
2,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_ref_gap,6,0.0414357218735604,0.110582920481968,"0.4,1.4",0.0546347971200046,0.0528726668763393,0.0746111975544587,0.7
3,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_ref_gap,15,0.00436560484374983,0.00659334801603125,"0.2,0.4,1.4",0.031452567434316,0.0283815251206819,0.060564583725065,0.64
4,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_ref_gap,20,0.00180731360085291,0.00280125391044409,"0.2,0.4,1.0,1.4",0.0232086568316823,0.0249839104824349,0.0592013177004789,0.54
5,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_ref_gap,15,0.000252589447807823,0.000378802511464905,"0.2,0.4,0.8,1.2,1.4",0.0181453236623542,0.00946896640501447,0.0623013959790735,0.44
6,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_ref_gap,6,0.000161290404995491,0.000161290404995491,"0.2,0.4,0.6,0.8,1.0,1.4",0.0148218180940429,0.00073563947308731,0.0683604064030584,0.366666666666667
2,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_both_endpoints,1,0.0746111975544587,0.10003514022184,"0.2,1.4",0.0746111975544587,0.0746111975544587,0.0746111975544587,1.2
3,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_both_endpoints,5,0.00436560484374983,0.00659334801603125,"0.2,0.4,1.4",0.0174696223044079,0.0156054853923252,0.0348270436423114,0.84
4,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_both_endpoints,10,0.00180731360085291,0.00280125391044409,"0.2,0.4,1.0,1.4",0.00966480328523941,0.00696863556535405,0.0306946864913141,0.64
5,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_both_endpoints,10,0.000252589447807823,0.000378802511464905,"0.2,0.4,0.8,1.2,1.4",0.00603514047766201,0.00183781008647424,0.0252169409325809,0.48
6,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775,include_both_endpoints,5,0.000161290404995491,0.000161290404995491,"0.2,0.4,0.6,0.8,1.0,1.4",0.00411410043223981,0.000707379220678392,0.0186421277799343,0.4
