gap_error_mm,gap_used_mm,vib_A_est_mm,vib_A_err_percent,deltaY_rms_pF,recon_rmse_pF
-0.4,0.4,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
-0.35,0.45,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
-0.3,0.5,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
-0.25,0.55,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
-0.2,0.6,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
-0.15,0.65,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
-0.1,0.7,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
-0.05,0.75,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
0,0.8,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
0.05,0.85,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
0.1,0.9,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
0.15,0.95,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
0.2,1,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
0.25,1.05,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
0.3,1.1,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
0.35,1.15,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
0.4,1.2,14.3113485990846,4670.44953302819,0.0430540555984914,0.0430540555984914
