gap_true_mm,vib_case,vib_A_mm,vib_f_Hz,distortion_eta,gHat_width_mm,gHat_width_interp_mm,gHat_peak_mm,gHat_corr_mm,gHat_oracle_mm,err_width_mm,err_width_interp_mm,err_peak_mm,err_corr_mm,err_oracle_mm
0.2,No vibration,0,0,0,0.2,0.200000000210064,0.2,0.2,0.2,0,2.10064104999574e-10,0,0,0
0.2,Weak vib,0.1,300,0.000628318530717959,0.2,0.202938802978846,0.2,0.2,0.2,0,0.00293880297884572,0,0,0
0.2,Moderate vib,0.3,500,0.00314159265358979,0.2,0.212490432903373,0.2,0.2,0.2,0,0.0124904329033728,0,0,0
0.2,Strong vib,0.6,800,0.0100530964914873,0.2,0.237540301103968,0.2,0.2,0.2,0,0.0375403011039678,0,0,0
0.2,Very strong vib,1,1200,0.0251327412287183,0.2,0.270928575476559,0.2,0.2,0.2,0,0.0709285754765585,0,0,0
0.4,No vibration,0,0,0,0.4,0.399999999978867,0.4,0.4,0.4,0,-2.11332618071935e-11,0,0,0
0.4,Weak vib,0.1,300,0.000628318530717959,0.4,0.399395703974129,0.4,0.4,0.4,0,-0.000604296025871143,0,0,0
0.4,Moderate vib,0.3,500,0.00314159265358979,0.4,0.396205900865555,0.4,0.4,0.4,0,-0.00379409913444484,0,0,0
0.4,Strong vib,0.6,800,0.0100530964914873,0.4,0.383252030612613,0.4,0.4,0.4,0,-0.0167479693873867,0,0,0
0.4,Very strong vib,1,1200,0.0251327412287183,0.2,0.336188808253747,0.4,0.4,0.2,-0.2,-0.063811191746253,0,0,-0.2
0.6,No vibration,0,0,0,0.6,0.599999999997216,0.6,0.6,0.6,0,-2.78377321194512e-12,0,0,0
0.6,Weak vib,0.1,300,0.000628318530717959,0.6,0.599783528195467,0.6,0.6,0.6,0,-0.000216471804532659,0,0,0
0.6,Moderate vib,0.3,500,0.00314159265358979,0.6,0.597253048214974,0.6,0.6,0.6,0,-0.00274695178502637,0,0,0
0.6,Strong vib,0.6,800,0.0100530964914873,0.6,0.586080814911554,0.6,0.6,0.6,0,-0.0139191850884458,0,0,0
0.6,Very strong vib,1,1200,0.0251327412287183,0.4,0.439126856778967,0.6,0.6,0.4,-0.2,-0.160873143221033,0,0,-0.2
0.8,No vibration,0,0,0,0.8,0.800000000034458,0.8,0.8,0.8,0,3.44584361045008e-11,0,0,0
0.8,Weak vib,0.1,300,0.000628318530717959,0.8,0.801710386326249,0.8,0.8,0.8,0,0.00171038632624865,0,0,0
0.8,Moderate vib,0.3,500,0.00314159265358979,0.8,0.803497198098343,0.8,0.8,0.8,0,0.00349719809834304,0,0,0
0.8,Strong vib,0.6,800,0.0100530964914873,0.8,0.791979865336162,0.8,0.8,0.8,0,-0.00802013466383833,0,0,0
0.8,Very strong vib,1,1200,0.0251327412287183,0.6,0.75449564734079,0.8,0.8,0.6,-0.2,-0.0455043526592097,0,0,-0.2
1,No vibration,0,0,0,1,1.00000000003175,1,1,1,0,3.17487147682982e-11,0,0,0
1,Weak vib,0.1,300,0.000628318530717959,1,1.00170807572944,1,1,1,0,0.00170807572944243,0,0,0
1,Moderate vib,0.3,500,0.00314159265358979,1,0.998863321333582,1,1,1,0,-0.0011366786664182,0,0,0
1,Strong vib,0.6,800,0.0100530964914873,1,0.98213834979652,1,1,1,0,-0.0178616502034795,0,0,0
1,Very strong vib,1,1200,0.0251327412287183,0.8,0.957909522917536,1,1.2,0.8,-0.2,-0.0420904770824641,0,0.2,-0.2
1.2,No vibration,0,0,0,1.2,1.20000000006706,1.2,1.2,1.2,0,6.70563604643348e-11,0,0,0
1.2,Weak vib,0.1,300,0.000628318530717959,1.2,1.20301544606922,1.2,1.2,1.2,0,0.00301544606921555,0,0,0
1.2,Moderate vib,0.3,500,0.00314159265358979,1.2,1.2022501755533,1.2,1.2,1.2,0,0.00225017555329887,0,0,0
1.2,Strong vib,0.6,800,0.0100530964914873,1.2,1.17767498295127,1.2,1.2,1.2,0,-0.0223250170487266,0,0,0
1.2,Very strong vib,1,1200,0.0251327412287183,1,1.00534915137588,1.2,1.2,1,-0.2,-0.194650848624122,0,0,-0.2
1.4,No vibration,0,0,0,1.4,1.39999999958478,1.4,1.4,1.4,0,-4.15222967120599e-10,0,0,0
1.4,Weak vib,0.1,300,0.000628318530717959,1.4,1.35422143567324,1.4,1.4,1.4,0,-0.0457785643267574,0,0,0
1.4,Moderate vib,0.3,500,0.00314159265358979,1.4,1.27365411261573,1.4,1.4,1.4,0,-0.126345887384272,0,0,0
1.4,Strong vib,0.6,800,0.0100530964914873,1.4,1.23225661569376,1.4,1.4,1.4,0,-0.167743384306245,0,0,0
1.4,Very strong vib,1,1200,0.0251327412287183,1.2,1.19622237361614,1.4,1.4,1.2,-0.2,-0.203777626383865,0,0,-0.2
