gap_true_mm,vib_A_mm,vib_f_Hz,eta,gHat_raw_corr_mm,gHat_raw_rmse_mm,gHat_width_mm,err_raw_corr_mm,err_raw_rmse_mm,err_width_mm,raw_corr_correct,raw_rmse_correct,width_correct,best_raw_corr,best_width_dist,width_correct_rank,width_separability
0.2,0,0,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.75706599140163e-17,1,8267550928074.35
0.2,0,200,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.75706599140163e-17,1,8267550928074.35
0.2,0,400,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.75706599140163e-17,1,8267550928074.35
0.2,0,600,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.75706599140163e-17,1,8267550928074.35
0.2,0,800,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.75706599140163e-17,1,8267550928074.35
0.2,0,1000,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.75706599140163e-17,1,8267550928074.35
0.2,0.05,0,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.44305997370834e-17,1,8267550928074.41
0.2,0.05,200,0.00020943951023932,0.2,0.2,0.2,0,0,0,1,1,1,0.999999981989401,3.8167867638784e-06,1,480.258900973017
0.2,0.05,400,0.000418879020478639,0.2,0.2,0.2,0,0,0,1,1,1,0.999999928038282,7.46929738894789e-06,1,245.097503313402
0.2,0.05,600,0.000628318530717959,0.2,0.2,0.2,0,0,0,1,1,1,0.999999838191456,1.10554265729731e-05,1,165.408189273654
0.2,0.05,800,0.000837758040957278,0.2,0.2,0.2,0,0,0,1,1,1,0.999999712572267,1.47254576409621e-05,1,124.054458063881
0.2,0.05,1000,0.0010471975511966,0.2,0.2,0.2,0,0,0,1,1,1,0.99999955130473,1.83084079695758e-05,1,99.6894105534277
0.2,0.1,0,0,0.2,0.2,0.2,0,0,0,1,1,1,1,2.5018537765542e-17,1,8267550928074.42
0.2,0.1,200,0.000418879020478639,0.2,0.2,0.2,0,0,0,1,1,1,0.99999992803017,7.46966071654486e-06,1,245.085274880071
0.2,0.1,400,0.000837758040957278,0.2,0.2,0.2,0,0,0,1,1,1,0.999999712443404,1.47269115244841e-05,1,124.041147439591
0.2,0.1,600,0.00125663706143592,0.2,0.2,0.2,0,0,0,1,1,1,0.999999353641715,2.17861613200512e-05,1,83.714462726404
0.2,0.1,800,0.00167551608191456,0.2,0.2,0.2,0,0,0,1,1,1,0.999998851809873,2.82597939157762e-05,1,64.4821304995094
0.2,0.1,1000,0.0020943951023932,0.2,0.2,0.2,0,0,0,1,1,1,0.999998208085334,3.40825397049186e-05,1,53.4574274413352
0.2,0.2,0,0,0.2,0.2,0.2,0,0,0,1,1,1,1,6.66458996056251e-17,1,8267550928074.33
0.2,0.2,200,0.000837758040957278,0.2,0.2,0.2,0,0,0,1,1,1,0.999999712411181,1.47272792468296e-05,1,124.037784090197
0.2,0.2,400,0.00167551608191456,0.2,0.2,0.2,0,0,0,1,1,1,0.999998851297784,2.82538661366633e-05,1,64.4950106444459
0.2,0.2,600,0.00251327412287183,0.2,0.2,0.2,0,0,0,1,1,1,0.999997420777566,3.94375200664699e-05,1,46.2177095336662
0.2,0.2,800,0.00335103216382911,0.2,0.2,0.2,0,0,0,1,1,1,0.99999542340203,5.15155509292888e-05,1,35.4289500734636
0.2,0.2,1000,0.00418879020478639,0.2,0.2,0.2,0,0,0,1,1,1,0.999992863659772,6.62089953075966e-05,1,27.5988998040736
0.2,0.3,0,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.44305997370834e-17,1,8267550928074.41
0.2,0.3,200,0.00125663706143592,0.2,0.2,0.2,0,0,0,1,1,1,0.999999353448137,2.17857025461161e-05,1,83.7156444221004
0.2,0.3,400,0.00251327412287183,0.2,0.2,0.2,0,0,0,1,1,1,0.999997420303878,3.9429889901768e-05,1,46.2265200664661
0.2,0.3,600,0.00376991118430775,0.2,0.2,0.2,0,0,0,1,1,1,0.999994211162236,5.85486192196433e-05,1,31.1934328953992
0.2,0.3,800,0.00502654824574367,0.2,0.2,0.2,0,0,0,1,1,1,0.999989734703209,8.31398673676247e-05,1,21.9908264075905
0.2,0.3,1000,0.00628318530717959,0.2,0.2,0.2,0,0,0,1,1,1,0.999983997884137,0.000115286864511019,1,15.8531801028944
0.2,0.5,0,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.33333785409995e-17,1,8267550928074.41
0.2,0.5,200,0.0020943951023932,0.2,0.2,0.2,0,0,0,1,1,1,0.999998206500075,3.40613987099365e-05,1,53.4895726135132
0.2,0.5,400,0.00418879020478639,0.2,0.2,0.2,0,0,0,1,1,1,0.999992858246038,6.61479206058862e-05,1,27.624396453144
0.2,0.5,600,0.00628318530717959,0.2,0.2,0.2,0,0,0,1,1,1,0.999983988776738,0.000115256913599933,1,15.8571829919301
0.2,0.5,800,0.00837758040957278,0.2,0.2,0.2,0,0,0,1,1,1,0.99997180993678,0.00018587659457825,1,9.809234193314
0.2,0.5,1000,0.010471975511966,0.2,0.2,0.2,0,0,0,1,1,1,0.999956330219229,0.000216511695253626,1,8.41109392420952
0.2,0.7,0,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1.55158384577955e-17,1,8267550928074.39
0.2,0.7,200,0.00293215314335047,0.2,0.2,0.2,0,0,0,1,1,1,0.999996491417189,4.51032782066898e-05,1,40.4383543951818
0.2,0.7,400,0.00586430628670095,0.2,0.2,0.2,0,0,0,1,1,1,0.999986040376728,0.000103599043767063,1,17.6471405902146
0.2,0.7,600,0.00879645943005142,0.2,0.2,0.2,0,0,0,1,1,1,0.999969001077296,0.000199377334566212,1,9.14007064829651
0.2,0.7,800,0.0117286125734019,0.2,0.2,0.2,0,0,0,1,1,1,0.999945077524611,0.000225347077433932,1,8.07956315391931
0.2,0.7,1000,0.0146607657167524,0.2,0.2,0.2,0,0,0,1,1,1,0.999913557986314,0.000284733078146681,1,6.39543707228576
0.2,1,0,0,0.2,0.2,0.2,0,0,0,1,1,1,1,4.33333785409995e-17,1,8267550928074.41
0.2,1,200,0.00418879020478639,0.2,0.2,0.2,0,0,0,1,1,1,0.99999285747261,6.61392164287038e-05,1,27.6280338356834
